[0.0, 'Tempo', 106.0]
[0.0, 'Formula de Compasso', '2/4']
[14.75, 'Note', 'Parte_1', 0.25, 75, None]
[14.75, 'Note', 'Parte_3', 0.25, 55, None]
[15.0, 'Note', 'Parte_1', 0.25, 68, None]
[15.0, 'Note', 'Parte_3', 0.25, 60, None]
[15.25, 'Note', 'Parte_1', 0.25, 72, None]
[15.25, 'Note', 'Parte_3', 0.25, 56, None]
[15.5, 'Note', 'Parte_1', 0.25, 65, None]
[15.5, 'Note', 'Parte_3', 0.25, 61, None]
[15.75, 'Note', 'Parte_1', 0.25, 73, None]
[15.75, 'Note', 'Parte_3', 0.25, 53, None]
[16.0, 'Note', 'Parte_1', 0.25, 67, None]
[16.0, 'Rest', 'Parte_2', 2.0, 0, None]
[16.0, 'Note', 'Parte_3', 0.25, 58, None]
[16.0, 'Rest', 'Parte_4', 2.0, 0, None]
[16.0, 'Rest', 'Parte_5', 2.0, 0, None]
[16.25, 'Note', 'Parte_1', 0.25, 70, None]
[16.25, 'Note', 'Parte_3', 0.25, 55, None]
[16.5, 'Note', 'Parte_1', 0.25, 64, None]
[16.5, 'Note', 'Parte_3', 0.25, 60, None]
[16.75, 'Note', 'Parte_1', 0.25, 72, None]
[16.75, 'Note', 'Parte_3', 0.25, 52, None]
[17.0, 'Note', 'Parte_1', 0.25, 65, None]
[17.0, 'Note', 'Parte_3', 0.25, 56, None]
[17.25, 'Note', 'Parte_1', 0.25, 68, None]
[17.25, 'Note', 'Parte_3', 0.25, 53, None]
[17.5, 'Note', 'Parte_1', 0.25, 62, None]
[17.5, 'Note', 'Parte_3', 0.25, 58, None]
[17.75, 'Note', 'Parte_1', 0.25, 70, None]
[17.75, 'Note', 'Parte_3', 0.25, 50, None]
[18.0, 'Note', 'Parte_1', 0.5, 63, None]
[18.0, 'Rest', 'Parte_2', 2.0, 0, None]
[18.0, 'Note', 'Parte_3', 0.25, 55, None]
[18.0, 'Rest', 'Parte_4', 2.0, 0, None]
