[0.0, 'Formula de Compasso', '2/4']
[15.0, 'Tuplet 3:2', 'Parte_1', [['Chord', 0.25, [48, 56], None], ['Note', 0.25, 51, None], ['Note', 0.25, 56, None]]]
[15.0, 'Rest', 'Parte_2', 1.0, 0, None]
[15.0, 'Note', 'Parte_3', 0.5, 32, None]
[15.5, 'Tuplet 3:2', 'Parte_1', [['Note', 0.25, 60, None], ['Note', 0.25, 63, None], ['Note', 0.25, 68, None]]]
[15.5, 'Rest', 'Parte_3', 0.5, 0, None]
[16.0, 'Note', 'Parte_1', 1.0, 72, None]
[16.0, 'Note', 'Parte_2', 0.25, 60, None]
[16.0, 'Note', 'Parte_3', 0.25, 56, None]
[16.0, 'Note', 'Parte_4', 1.0, 44, None]
[16.25, 'Note', 'Parte_2', 0.25, 63, None]
[16.25, 'Note', 'Parte_3', 0.25, 51, None]
[16.5, 'Note', 'Parte_2', 0.25, 60, None]
[16.5, 'Note', 'Parte_3', 0.25, 56, None]
[16.75, 'Note', 'Parte_2', 0.25, 63, None]
[16.75, 'Note', 'Parte_3', 0.25, 51, None]
[17.0, 'Note', 'Parte_1', 1.0, 70, None]
[17.0, 'Note', 'Parte_2', 0.25, 58, None]
[17.0, 'Note', 'Parte_3', 0.25, 55, None]
[17.0, 'Note', 'Parte_4', 1.0, 49, None]
[17.25, 'Note', 'Parte_2', 0.25, 63, None]
[17.25, 'Note', 'Parte_3', 0.25, 51, None]
[17.5, 'Note', 'Parte_2', 0.25, 58, None]
[17.5, 'Note', 'Parte_3', 0.25, 55, None]
[17.75, 'Note', 'Parte_2', 0.25, 63, None]
[17.75, 'Note', 'Parte_3', 0.25, 51, None]
[18.0, 'Note', 'Parte_1', 1.5, 75, None]
[18.0, 'Note', 'Parte_2', 0.25, 63, None]
[18.0, 'Note', 'Parte_3', 0.25, 56, None]
[18.0, 'Note', 'Parte_4', 1.0, 48, None]
[18.25, 'Note', 'Parte_2', 0.25, 68, None]
[18.25, 'Note', 'Parte_3', 0.25, 51, None]
[18.5, 'Note', 'Parte_2', 0.25, 63, None]
[18.5, 'Note', 'Parte_3', 0.25, 56, None]
[18.75, 'Note', 'Parte_2', 0.25, 68, None]
[18.75, 'Note', 'Parte_3', 0.25, 51, None]
[19.0, 'Note', 'Parte_2', 0.25, 63, None]
[19.0, 'Note', 'Parte_3', 0.25, 55, None]
[19.0, 'Note', 'Parte_4', 1.0, 43, None]
[19.25, 'Note', 'Parte_2', 0.25, 70, None]
[19.25, 'Note', 'Parte_3', 0.25, 51, None]
[19.5, 'Note', 'Parte_1', 0.5, 73, None]
[19.5, 'Note', 'Parte_2', 0.25, 63, None]
[19.5, 'Note', 'Parte_3', 0.25, 55, None]
[19.75, 'Note', 'Parte_2', 0.25, 70, None]
[19.75, 'Note', 'Parte_3', 0.25, 51, None]
[20.0, 'Note', 'Parte_1', 0.5, 72, None]
[20.0, 'Note', 'Parte_2', 0.25, 63, None]
[20.0, 'Note', 'Parte_3', 0.25, 56, None]
[20.0, 'Note', 'Parte_4', 0.5, 44, None]
[20.25, 'Note', 'Parte_2', 0.25, 68, None]
[20.25, 'Note', 'Parte_3', 0.25, 51, None]
[20.5, 'Note', 'Parte_1', 0.5, 75, None]
[20.5, 'Note', 'Parte_2', 0.25, 63, None]
[20.5, 'Note', 'Parte_3', 0.25, 55, None]
[20.5, 'Note', 'Parte_4', 0.5, 43, None]
[20.75, 'Note', 'Parte_2', 0.25, 70, None]
[20.75, 'Note', 'Parte_3', 0.25, 51, None]
[21.0, 'Note', 'Parte_1', 0.5, 80, None]
[21.0, 'Note', 'Parte_2', 0.25, 68, None]
[21.0, 'Note', 'Parte_3', 0.25, 53, None]
[21.0, 'Note', 'Parte_4', 0.5, 41, None]
[21.25, 'Note', 'Parte_2', 0.25, 72, None]
[21.25, 'Note', 'Parte_3', 0.25, 44, None]
[21.5, 'Note', 'Parte_1', 0.5, 82, None]
[21.5, 'Note', 'Parte_2', 0.25, 68, None]
[21.5, 'Note', 'Parte_3', 0.25, 53, None]
[21.5, 'Note', 'Parte_4', 0.5, 41, None]
[21.75, 'Note', 'Parte_2', 0.25, 74, None]
[21.75, 'Note', 'Parte_3', 0.25, 44, None]
[22.0, 'Note', 'Parte_1', 1.5, 75, None]
[22.0, 'Note', 'Parte_2', 0.25, 67, None]
[22.0, 'Note', 'Parte_3', 0.25, 39, None]
[22.0, 'Rest', 'Parte_4', 2.0, 0, None]
[22.25, 'Note', 'Parte_2', 0.25, 70, None]
[22.25, 'Note', 'Parte_3', 0.25, 43, None]
[22.5, 'Note', 'Parte_2', 0.25, 67, None]
[22.5, 'Note', 'Parte_3', 0.25, 46, None]
[22.75, 'Note', 'Parte_2', 0.25, 70, None]
[22.75, 'Note', 'Parte_3', 0.25, 51, None]
[23.0, 'Note', 'Parte_2', 0.25, 67, None]
[23.0, 'Note', 'Parte_3', 0.25, 55, None]
[23.25, 'Note', 'Parte_2', 0.25, 70, None]
[23.25, 'Note', 'Parte_3', 0.25, 58, None]
[23.5, 'Note', 'Parte_1', 0.5, 76, None]
[23.5, 'Note', 'Parte_2', 0.25, 67, None]
[23.5, 'Note', 'Parte_3', 0.25, 55, None]
[23.75, 'Note', 'Parte_2', 0.25, 70, None]
[23.75, 'Note', 'Parte_3', 0.25, 58, None]
[24.0, 'Note', 'Parte_1', 1.0, 77, None]
[24.0, 'Note', 'Parte_2', 0.25, 67, None]
[24.0, 'Note', 'Parte_3', 0.25, 37, None]
[24.0, 'Rest', 'Parte_4', 2.0, 0, None]
[24.25, 'Note', 'Parte_2', 0.25, 70, None]
[24.25, 'Note', 'Parte_3', 0.25, 43, None]
[24.5, 'Note', 'Parte_2', 0.25, 67, None]
[24.5, 'Note', 'Parte_3', 0.25, 46, None]
[24.75, 'Note', 'Parte_2', 0.25, 70, None]
[24.75, 'Note', 'Parte_3', 0.25, 49, None]
[25.0, 'Note', 'Parte_1', 0.75, 70, None]
[25.0, 'Note', 'Parte_2', 0.25, 67, None]
