[28.5, 'Note', 'Parte_2', 0.5, 67, 'stop']
[28.5, 'Note', 'Parte_3', 1.0, 38, None]
[29.0, 'Rest', 'Parte_1', 0.5, 0, None]
[29.0, 'Rest', 'Parte_2', 0.5, 0, None]
[29.5, 'Note', 'Parte_1', 0.5, 73, None]
[29.5, 'Note', 'Parte_2', 0.5, 67, None]
[29.5, 'Note', 'Parte_3', 0.5, 45, None]
[30.0, 'Note', 'Parte_1', 1.0, 76, None]
[30.0, 'Note', 'Parte_2', 1.5, 66, 'start']
[30.0, 'Note', 'Parte_3', 1.0, 38, None]
[30.0, 'Rest', 'Parte_4', 3.0, 0, None]
[31.0, 'Note', 'Parte_1', 0.5, 74, None]
[31.0, 'Note', 'Parte_3', 0.5, 50, None]
[31.5, 'Note', 'Parte_1', 0.5, 81, None]
[31.5, 'Note', 'Parte_2', 0.5, 66, 'stop']
[31.5, 'Note', 'Parte_3', 1.0, 38, None]
[32.0, 'Rest', 'Parte_1', 0.5, 0, None]
[32.0, 'Rest', 'Parte_2', 0.5, 0, None]
[32.5, 'Note', 'Parte_1', 0.5, 74, 'start']
[32.5, 'Note', 'Parte_2', 0.5, 66, None]
[32.5, 'Note', 'Parte_3', 0.5, 45, None]
[33.0, 'Note', 'Parte_1', 1.0, 74, 'stop']
[33.0, 'Note', 'Parte_2', 1.5, 67, 'start']
[33.0, 'Note', 'Parte_3', 1.0, 38, None]
[33.0, 'Rest', 'Parte_4', 3.0, 0, None]
[34.0, 'Note', 'Parte_1', 0.5, 73, None]
[34.0, 'Note', 'Parte_3', 0.5, 52, None]
[34.5, 'Note', 'Parte_1', 0.5, 81, None]
[34.5, 'Note', 'Parte_2', 0.5, 67, 'stop']
[34.5, 'Note', 'Parte_3', 1.0, 38, None]
[35.0, 'Rest', 'Parte_1', 0.5, 0, None]
[35.0, 'Rest', 'Parte_2', 0.5, 0, None]
[35.5, 'Note', 'Parte_1', 0.5, 73, None]
[35.5, 'Note', 'Parte_2', 0.5, 67, None]
[35.5, 'Note', 'Parte_3', 0.5, 45, None]
[36.0, 'Note', 'Parte_1', 1.0, 74, None]
[36.0, 'Note', 'Parte_2', 1.0, 66, None]
[36.0, 'Note', 'Parte_3', 1.0, 38, None]
[36.0, 'Rest', 'Parte_4', 3.0, 0, None]
[37.0, 'Rest', 'Parte_1', 0.5, 0, None]
[37.0, 'Rest', 'Parte_2', 0.5, 0, None]
[37.0, 'Note', 'Parte_3', 0.5, 50, None]
[37.5, 'Rest', 'Parte_1', 0.5, 0, None]
[37.5, 'Rest', 'Parte_2', 0.5, 0, None]
[37.5, 'Note', 'Parte_3', 1.0, 38, None]
[38.0, 'Rest', 'Parte_1', 0.5, 0, None]
[38.0, 'Rest', 'Parte_2', 0.5, 0, None]
[38.5, 'Note', 'Parte_1', 0.5, 74, 'start']
[38.5, 'Note', 'Parte_2', 0.5, 66, None]
[38.5, 'Note', 'Parte_3', 0.5, 45, None]
[39.0, 'Note', 'Parte_1', 0.75, 74, 'stop']
[39.0, 'Note', 'Parte_2', 1.5, 67, 'start']
[39.0, 'Note', 'Parte_3', 1.0, 38, None]
[39.0, 'Rest', 'Parte_4', 3.0, 0, None]
[39.75, 'Note', 'Parte_1', 0.25, 73, None]
[40.0, 'Note', 'Parte_1', 0.25, 72, None]
[40.0, 'Note', 'Parte_3', 0.5, 52, None]
[40.25, 'Note', 'Parte_1', 0.25, 73, None]
[40.5, 'Note', 'Parte_1', 0.5, 81, None]
[40.5, 'Note', 'Parte_2', 0.5, 67, 'stop']
[40.5, 'Note', 'Parte_3', 1.0, 38, None]
[41.0, 'Rest', 'Parte_1', 0.5, 0, None]
[41.0, 'Rest', 'Parte_2', 0.5, 0, None]
[41.5, 'Note', 'Parte_1', 0.5, 73, None]
[41.5, 'Note', 'Parte_2', 0.5, 67, None]
[41.5, 'Note', 'Parte_3', 0.5, 45, None]
[42.0, 'Note', 'Parte_1', 0.75, 76, None]
[42.0, 'Note', 'Parte_2', 1.5, 66, 'start']
[42.0, 'Note', 'Parte_3', 1.0, 38, None]
[42.0, 'Rest', 'Parte_4', 3.0, 0, None]
[42.75, 'Note', 'Parte_1', 0.25, 74, None]
[43.0, 'Note', 'Parte_1', 0.25, 73, None]
[43.0, 'Note', 'Parte_3', 0.5, 50, None]
[43.25, 'Note', 'Parte_1', 0.25, 74, None]
