[0.0, 'Tempo', 290.0]
[0.0, 'Formula de Compasso', '6/8']
[27.0, 'Rest', 'Parte_2', 3.0, 0, None]
[27.0, 'Note', 'Parte_3', 0.5, 46, None]
[27.0, 'Rest', 'Parte_4', 3.0, 0, None]
[27.0, 'Rest', 'Parte_5', 3.0, 0, None]
[27.5, 'Note', 'Parte_3', 0.5, 53, None]
[28.0, 'Note', 'Parte_1', 0.5, 80, None]
[28.0, 'Note', 'Parte_3', 0.5, 56, None]
[28.5, 'Note', 'Parte_1', 1.0, 77, None]
[28.5, 'Note', 'Parte_3', 0.5, 52, None]
[29.0, 'Note', 'Parte_3', 0.5, 53, None]
[29.5, 'Note', 'Parte_1', 0.5, 74, None]
[29.5, 'Note', 'Parte_3', 0.5, 56, None]
[30.0, 'Note', 'Parte_1', 1.0, 75, None]
[30.0, 'Rest', 'Parte_2', 3.0, 0, None]
[30.0, 'Note', 'Parte_3', 0.5, 46, None]
[30.0, 'Rest', 'Parte_4', 3.0, 0, None]
[30.0, 'Rest', 'Parte_5', 3.0, 0, None]
[30.5, 'Note', 'Parte_3', 0.5, 51, None]
[31.0, 'Rest', 'Parte_1', 0.5, 0, None]
[31.0, 'Note', 'Parte_3', 0.5, 55, None]
[31.5, 'Rest', 'Parte_1', 1.0, 0, None]
[31.5, 'Note', 'Parte_3', 0.5, 50, None]
[32.0, 'Note', 'Parte_3', 0.5, 51, None]
[32.5, 'Note', 'Parte_1', 0.5, 70, None]
[32.5, 'Note', 'Parte_3', 0.5, 55, None]
[33.0, 'Note', 'Parte_1', 1.0, 70, None]
[33.0, 'Rest', 'Parte_2', 3.0, 0, None]
[33.0, 'Note', 'Parte_3', 0.5, 46, None]
[33.0, 'Rest', 'Parte_4', 3.0, 0, None]
[33.0, 'Rest', 'Parte_5', 3.0, 0, None]
[33.5, 'Note', 'Parte_3', 0.5, 53, None]
[34.0, 'Note', 'Parte_1', 0.5, 68, None]
[34.0, 'Note', 'Parte_3', 0.5, 56, None]
[34.5, 'Note', 'Parte_1', 1.0, 65, None]
[34.5, 'Note', 'Parte_3', 0.5, 52, None]
[35.0, 'Note', 'Parte_3', 0.5, 53, None]
[35.5, 'Note', 'Parte_1', 0.5, 62, None]
[35.5, 'Note', 'Parte_3', 0.5, 56, None]
[36.0, 'Chord', 'Parte_1', 1.0, [55, 63], None]
[36.0, 'Rest', 'Parte_2', 3.0, 0, None]
[36.0, 'Chord', 'Parte_3', 1.0, [39, 51], None]
[36.0, 'Rest', 'Parte_4', 3.0, 0, None]
[36.0, 'Rest', 'Parte_5', 3.0, 0, None]
[37.0, 'Rest', 'Parte_1', 0.5, 0, None]
[37.0, 'Rest', 'Parte_3', 0.5, 0, None]
[37.5, 'Note', 'Parte_1', 0.5, 58, None]
[37.5, 'Rest', 'Parte_3', 1.0, 0, None]
[38.0, 'Rest', 'Parte_1', 0.5, 0, None]
[38.5, 'Note', 'Parte_1', 0.5, 58, None]
[38.5, 'Rest', 'Parte_3', 0.5, 0, None]
[39.0, 'Chord', 'Parte_1', 0.5, [55, 63], None]
[39.0, 'Rest', 'Parte_2', 3.0, 0, None]
[39.0, 'Chord', 'Parte_3', 1.0, [39, 51], None]
[39.0, 'Rest', 'Parte_4', 3.0, 0, None]
[39.0, 'Rest', 'Parte_5', 3.0, 0, None]
[39.5, 'Rest', 'Parte_1', 0.5, 0, None]
[40.0, 'Note', 'Parte_1', 0.5, 63, None]
[40.0, 'Rest', 'Parte_3', 0.5, 0, None]
[40.5, 'Note', 'Parte_1', 0.5, 58, None]
[40.5, 'Note', 'Parte_3', 1.0, 70, None]
[41.0, 'Rest', 'Parte_1', 0.5, 0, None]
[41.5, 'Note', 'Parte_1', 0.5, 58, None]
[41.5, 'Rest', 'Parte_3', 0.5, 0, None]
[42.0, 'Chord', 'Parte_1', 0.5, [55, 63], None]
[42.0, 'Rest', 'Parte_2', 3.0, 0, None]
[42.0, 'Rest', 'Parte_3', 1.0, 0, None]
[42.0, 'Rest', 'Parte_4', 3.0, 0, None]
[42.0, 'Rest', 'Parte_5', 3.0, 0, None]
[42.5, 'Rest', 'Parte_1', 0.5, 0, None]
[43.0, 'Note', 'Parte_1', 0.5, 63, None]
[43.0, 'Rest', 'Parte_3', 0.5, 0, None]
[43.5, 'Note', 'Parte_1', 0.5, 58, None]
[43.5, 'Note', 'Parte_3', 1.0, 70, None]
[44.0, 'Rest', 'Parte_1', 0.5, 0, None]
[44.5, 'Note', 'Parte_1', 0.5, 58, None]
[44.5, 'Rest', 'Parte_3', 0.5, 0, None]
[45.0, 'Chord', 'Parte_1', 0.5, [55, 63], None]
[45.0, 'Rest', 'Parte_2', 3.0, 0, None]
[45.0, 'Rest', 'Parte_3', 1.0, 0, None]
[45.0, 'Rest', 'Parte_4', 3.0, 0, None]
[45.0, 'Rest', 'Parte_5', 3.0, 0, None]
[45.5, 'Rest', 'Parte_1', 0.5, 0, None]
[46.0, 'Note', 'Parte_1', 0.5, 63, None]
[46.0, 'Rest', 'Parte_3', 0.5, 0, None]
[46.5, 'Note', 'Parte_1', 0.5, 58, None]
[46.5, 'Note', 'Parte_3', 1.0, 70, None]
[47.0, 'Rest', 'Parte_1', 0.5, 0, None]
[47.5, 'Note', 'Parte_1', 0.5, 58, None]
[47.5, 'Rest', 'Parte_3', 0.5, 0, None]
[48.0, 'Chord', 'Parte_1', 0.5, [62, 65], None]
[48.0, 'Rest', 'Parte_2', 3.0, 0, None]
[48.0, 'Note', 'Parte_3', 1.0, 70, None]
[48.0, 'Rest', 'Parte_4', 3.0, 0, None]
[48.0, 'Rest', 'Parte_5', 3.0, 0, None]
[48.5, 'Rest', 'Parte_1', 0.5, 0, None]
[49.0, 'Chord', 'Parte_1', 0.5, [62, 65], None]
[49.0, 'Rest', 'Parte_3', 0.5, 0, None]
[49.5, 'Note', 'Parte_1', 0.5, 58, None]
[49.5, 'Rest', 'Parte_3', 1.0, 0, None]
[50.0, 'Rest', 'Parte_1', 0.5, 0, None]
[50.5, 'Note', 'Parte_1', 0.5, 58, None]
[50.5, 'Rest', 'Parte_3', 0.5, 0, None]
[51.0, 'Chord', 'Parte_1', 0.5, [62, 65], None]
[51.0, 'Rest', 'Parte_2', 3.0, 0, None]
[51.0, 'Chord', 'Parte_3', 1.0, [34, 46], None]
[51.0, 'Rest', 'Parte_4', 3.0, 0, None]
[51.0, 'Rest', 'Parte_5', 3.0, 0, None]
[51.5, 'Rest', 'Parte_1', 0.5, 0, None]
[52.0, 'Chord', 'Parte_1', 0.5, [62, 65], None]
[52.0, 'Rest', 'Parte_3', 0.5, 0, None]
[52.5, 'Note', 'Parte_1', 0.5, 58, None]
[52.5, 'Note', 'Parte_3', 1.0, 70, None]
[53.0, 'Rest', 'Parte_1', 0.5, 0, None]
[53.5, 'Note', 'Parte_1', 0.5, 58, None]
[53.5, 'Rest', 'Parte_3', 0.5, 0, None]
[54.0, 'Chord', 'Parte_1', 0.5, [62, 65], None]
[54.0, 'Rest', 'Parte_2', 3.0, 0, None]
[54.0, 'Rest', 'Parte_3', 1.0, 0, None]
[54.0, 'Rest', 'Parte_4', 3.0, 0, None]
[54.0, 'Rest', 'Parte_5', 3.0, 0, None]
[54.5, 'Rest', 'Parte_1', 0.5, 0, None]
[55.0, 'Chord', 'Parte_1', 0.5, [62, 65], None]
[55.0, 'Rest', 'Parte_3', 0.5, 0, None]
[55.5, 'Note', 'Parte_1', 0.5, 58, None]
[55.5, 'Note', 'Parte_3', 1.0, 70, None]
[56.0, 'Rest', 'Parte_1', 0.5, 0, None]
[56.5, 'Note', 'Parte_1', 0.5, 58, None]
[56.5, 'Rest', 'Parte_3', 0.5, 0, None]
[57.0, 'Chord', 'Parte_1', 0.5, [62, 65], None]
[57.0, 'Rest', 'Parte_2', 3.0, 0, None]
[57.0, 'Rest', 'Parte_3', 1.0, 0, None]
[57.0, 'Rest', 'Parte_4', 3.0, 0, None]
[57.0, 'Rest', 'Parte_5', 3.0, 0, None]
[57.5, 'Rest', 'Parte_1', 0.5, 0, None]
[58.0, 'Chord', 'Parte_1', 0.5, [62, 65], None]
[58.0, 'Rest', 'Parte_3', 0.5, 0, None]
[58.5, 'Note', 'Parte_1', 0.5, 58, None]
[58.5, 'Note', 'Parte_3', 1.0, 70, None]
[59.0, 'Rest', 'Parte_1', 0.5, 0, None]
[59.5, 'Note', 'Parte_1', 0.5, 58, None]
[59.5, 'Rest', 'Parte_3', 0.5, 0, None]
[60.0, 'Chord', 'Parte_1', 0.5, [63, 67], None]
[60.0, 'Rest', 'Parte_2', 1.5, 0, None]
[60.0, 'Note', 'Parte_3', 1.0, 70, None]
[60.0, 'Rest', 'Parte_4', 1.5, 0, None]
[60.0, 'Rest', 'Parte_5', 1.5, 0, None]
[60.5, 'Rest', 'Parte_1', 0.5, 0, None]
[61.0, 'Note', 'Parte_1', 0.5, 67, None]
[61.0, 'Rest', 'Parte_3', 0.5, 0, None]
[61.5, 'Note', 'Parte_1', 0.5, 63, None]
[61.5, 'Rest', 'Parte_2', 1.5, 0, None]
[61.5, 'Note', 'Parte_3', 1.5, 51, 'start']
[61.5, 'Note', 'Parte_4', 1.5, 51, None]
[61.5, 'Rest', 'Parte_5', 1.5, 0, None]
[62.0, 'Rest', 'Parte_1', 0.5, 0, None]
[62.5, 'Note', 'Parte_1', 0.5, 63, None]
[63.0, 'Note', 'Parte_1', 0.5, 68, None]
[63.0, 'Rest', 'Parte_2', 3.0, 0, None]
[63.0, 'Note', 'Parte_3', 1.5, 48, None]
[63.0, 'Note', 'Parte_4', 3.0, 51, 'continue']
[63.0, 'Rest', 'Parte_5', 3.0, 0, None]
[63.5, 'Rest', 'Parte_1', 0.5, 0, None]
[64.0, 'Note', 'Parte_1', 0.5, 68, None]
[64.5, 'Note', 'Parte_1', 0.5, 72, None]
[64.5, 'Note', 'Parte_3', 1.5, 44, None]
[65.0, 'Rest', 'Parte_1', 0.5, 0, None]
[65.5, 'Note', 'Parte_1', 0.5, 72, None]
[66.0, 'Note', 'Parte_1', 0.5, 70, None]
[66.0, 'Rest', 'Parte_2', 3.0, 0, None]
[66.0, 'Note', 'Parte_3', 1.0, 43, None]
[66.0, 'Note', 'Parte_4', 1.5, 51, 'stop']
[66.0, 'Rest', 'Parte_5', 3.0, 0, None]
[66.5, 'Rest', 'Parte_1', 0.5, 0, None]
[67.0, 'Note', 'Parte_1', 0.5, 70, None]
[67.0, 'Rest', 'Parte_3', 0.5, 0, None]
[67.5, 'Note', 'Parte_1', 0.5, 75, None]
[67.5, 'Note', 'Parte_3', 1.5, 51, 'start']
[67.5, 'Note', 'Parte_4', 1.5, 51, None]
[68.0, 'Rest', 'Parte_1', 0.5, 0, None]
[68.5, 'Note', 'Parte_1', 0.5, 75, None]
[69.0, 'Note', 'Parte_1', 0.5, 80, None]
[69.0, 'Rest', 'Parte_2', 3.0, 0, None]
[69.0, 'Note', 'Parte_3', 1.5, 48, None]
[69.0, 'Note', 'Parte_4', 3.0, 51, 'continue']
[69.0, 'Rest', 'Parte_5', 3.0, 0, None]
[69.5, 'Rest', 'Parte_1', 0.5, 0, None]
[70.0, 'Note', 'Parte_1', 0.5, 80, None]
[70.5, 'Note', 'Parte_1', 0.5, 84, None]
[70.5, 'Note', 'Parte_3', 1.5, 44, None]
[71.0, 'Rest', 'Parte_1', 0.5, 0, None]
[71.5, 'Note', 'Parte_1', 0.5, 84, None]
[72.0, 'Note', 'Parte_1', 0.5, 82, None]
[72.0, 'Rest', 'Parte_2', 3.0, 0, None]
[72.0, 'Note', 'Parte_3', 1.0, 43, None]
[72.0, 'Note', 'Parte_4', 1.5, 51, 'stop']
[72.0, 'Rest', 'Parte_5', 3.0, 0, None]
[72.5, 'Rest', 'Parte_1', 0.5, 0, None]
[73.0, 'Note', 'Parte_1', 0.5, 70, None]
[73.0, 'Rest', 'Parte_3', 0.5, 0, None]
[73.5, 'Note', 'Parte_1', 0.5, 63, None]
[73.5, 'Note', 'Parte_3', 1.5, 51, 'start']
[73.5, 'Note', 'Parte_4', 1.5, 51, None]
[74.0, 'Rest', 'Parte_1', 0.5, 0, None]
[74.5, 'Note', 'Parte_1', 0.5, 63, None]
[75.0, 'Note', 'Parte_1', 0.5, 68, None]
[75.0, 'Rest', 'Parte_2', 3.0, 0, None]
[75.0, 'Note', 'Parte_3', 1.5, 48, None]
[75.0, 'Note', 'Parte_4', 3.0, 51, 'continue']
[75.0, 'Rest', 'Parte_5', 3.0, 0, None]
[75.5, 'Rest', 'Parte_1', 0.5, 0, None]
[76.0, 'Note', 'Parte_1', 0.5, 68, None]
[76.5, 'Note', 'Parte_1', 0.5, 72, None]
[76.5, 'Note', 'Parte_3', 1.5, 44, None]
[77.0, 'Rest', 'Parte_1', 0.5, 0, None]
[77.5, 'Note', 'Parte_1', 0.5, 72, None]
[78.0, 'Note', 'Parte_1', 0.5, 70, None]
[78.0, 'Rest', 'Parte_2', 1.5, 0, None]
[78.0, 'Note', 'Parte_3', 1.0, 43, None]
[78.0, 'Note', 'Parte_4', 1.5, 51, 'stop']
[78.0, 'Rest', 'Parte_5', 3.0, 0, None]
[78.5, 'Rest', 'Parte_1', 0.5, 0, None]
[79.0, 'Note', 'Parte_1', 0.5, 67, None]
[79.0, 'Rest', 'Parte_3', 0.5, 0, None]
[79.5, 'Note', 'Parte_1', 0.5, 65, None]
[79.5, 'Rest', 'Parte_2', 1.5, 0, None]
[79.5, 'Chord', 'Parte_3', 1.0, [44, 53], None]
[79.5, 'Rest', 'Parte_4', 1.5, 0, None]
[80.0, 'Rest', 'Parte_1', 0.5, 0, None]
[80.5, 'Note', 'Parte_1', 0.5, 68, None]
[80.5, 'Rest', 'Parte_3', 0.5, 0, None]
[81.0, 'Note', 'Parte_1', 0.5, 63, None]
[81.0, 'Rest', 'Parte_2', 3.0, 0, None]
[81.0, 'Chord', 'Parte_3', 1.0, [46, 55], None]
[81.0, 'Rest', 'Parte_4', 3.0, 0, None]
[81.0, 'Rest', 'Parte_5', 3.0, 0, None]
[81.5, 'Rest', 'Parte_1', 0.5, 0, None]
[82.0, 'Note', 'Parte_1', 0.5, 67, None]
[82.0, 'Rest', 'Parte_3', 0.5, 0, None]
[82.5, 'Note', 'Parte_1', 0.5, 62, None]
[82.5, 'Chord', 'Parte_3', 1.0, [46, 56], None]
[83.0, 'Rest', 'Parte_1', 0.5, 0, None]
[83.5, 'Note', 'Parte_1', 0.5, 65, None]
[83.5, 'Rest', 'Parte_3', 0.5, 0, None]
[84.0, 'Note', 'Parte_1', 1.0, 63, None]
[84.0, 'Rest', 'Parte_2', 1.5, 0, None]
[84.0, 'Note', 'Parte_3', 1.0, 39, None]
[84.0, 'Rest', 'Parte_4', 1.5, 0, None]
[84.0, 'Rest', 'Parte_5', 3.0, 0, None]
[85.0, 'Rest', 'Parte_1', 0.5, 0, None]
[85.0, 'Rest', 'Parte_3', 0.5, 0, None]
[85.5, 'Note', 'Parte_1', 0.5, 63, None]
[85.5, 'Rest', 'Parte_2', 1.5, 0, None]
[85.5, 'Note', 'Parte_3', 1.5, 51, 'start']
[85.5, 'Note', 'Parte_4', 1.5, 51, None]
[86.0, 'Rest', 'Parte_1', 0.5, 0, None]
[86.5, 'Note', 'Parte_1', 0.5, 63, None]
[87.0, 'Note', 'Parte_1', 0.5, 68, None]
[87.0, 'Rest', 'Parte_2', 3.0, 0, None]
[87.0, 'Note', 'Parte_3', 1.5, 47, None]
[87.0, 'Note', 'Parte_4', 3.0, 51, 'continue']
[87.0, 'Rest', 'Parte_5', 3.0, 0, None]
[87.5, 'Rest', 'Parte_1', 0.5, 0, None]
