[0.0, 'Formula de Compasso', '3/4']
[31.0, 'Note', 'Parte_4', 1.0, 65, None]
[32.0, 'Note', 'Parte_2', 1.0, 70, None]
[32.0, 'Note', 'Parte_4', 1.0, 67, None]
[33.0, 'Note', 'Parte_1', 1.0, 75, 'stop']
[33.0, 'Note', 'Parte_2', 1.0, 72, None]
[33.0, 'Rest', 'Parte_3', 3.0, 0, None]
[33.0, 'Note', 'Parte_4', 1.0, 56, None]
[33.0, 'Rest', 'Parte_5', 3.0, 0, None]
[33.0, 'Rest', 'Parte_6', 3.0, 0, None]
[34.0, 'Note', 'Parte_1', 1.0, 77, None]
[34.0, 'Note', 'Parte_2', 1.0, 68, None]
[34.0, 'Note', 'Parte_4', 1.0, 53, None]
[35.0, 'Note', 'Parte_1', 1.0, 74, None]
[35.0, 'Note', 'Parte_2', 1.0, 68, None]
[35.0, 'Note', 'Parte_4', 1.0, 58, None]
[36.0, 'Note', 'Parte_1', 1.0, 75, None]
[36.0, 'Note', 'Parte_2', 1.0, 67, None]
[36.0, 'Rest', 'Parte_3', 3.0, 0, None]
[36.0, 'Note', 'Parte_4', 1.0, 51, None]
[36.0, 'Rest', 'Parte_5', 3.0, 0, None]
[36.0, 'Rest', 'Parte_6', 3.0, 0, None]
[37.0, 'Rest', 'Parte_1', 1.0, 0, None]
[37.0, 'Rest', 'Parte_2', 1.0, 0, None]
[37.0, 'Rest', 'Parte_4', 1.0, 0, None]
[38.0, 'Note', 'Parte_1', 0.5, 73, None]
[38.0, 'Rest', 'Parte_2', 1.0, 0, None]
[38.0, 'Rest', 'Parte_4', 1.0, 0, None]
[38.5, 'Note', 'Parte_1', 0.5, 75, None]
[39.0, 'Note', 'Parte_1', 1.0, 77, None]
[39.0, 'Note', 'Parte_2', 3.0, 73, None]
[39.0, 'Rest', 'Parte_3', 3.0, 0, None]
[39.0, 'Note', 'Parte_4', 3.0, 70, None]
[39.0, 'Rest', 'Parte_5', 3.0, 0, None]
[39.0, 'Rest', 'Parte_6', 3.0, 0, None]
[40.0, 'Note', 'Parte_1', 1.0, 78, None]
[41.0, 'Note', 'Parte_1', 1.0, 79, None]
[42.0, 'Note', 'Parte_1', 3.0, 80, 'start']
[42.0, 'Note', 'Parte_2', 1.0, 72, None]
[42.0, 'Rest', 'Parte_3', 3.0, 0, None]
[42.0, 'Note', 'Parte_4', 1.0, 68, None]
[42.0, 'Rest', 'Parte_5', 3.0, 0, None]
[42.0, 'Rest', 'Parte_6', 3.0, 0, None]
[43.0, 'Note', 'Parte_2', 1.0, 73, None]
[43.0, 'Note', 'Parte_4', 1.0, 70, None]
[44.0, 'Note', 'Parte_2', 1.0, 75, None]
[44.0, 'Note', 'Parte_4', 1.0, 72, None]
[45.0, 'Note', 'Parte_1', 1.0, 80, 'stop']
[45.0, 'Note', 'Parte_2', 1.0, 77, None]
[45.0, 'Rest', 'Parte_3', 3.0, 0, None]
[45.0, 'Note', 'Parte_4', 1.0, 61, None]
[45.0, 'Rest', 'Parte_5', 3.0, 0, None]
[45.0, 'Rest', 'Parte_6', 3.0, 0, None]
[46.0, 'Note', 'Parte_1', 1.0, 82, None]
[46.0, 'Note', 'Parte_2', 1.0, 73, None]
[46.0, 'Note', 'Parte_4', 1.0, 58, None]
[47.0, 'Note', 'Parte_1', 1.0, 79, None]
[47.0, 'Note', 'Parte_2', 1.0, 73, None]
[47.0, 'Note', 'Parte_4', 1.0, 63, None]
[48.0, 'Note', 'Parte_1', 1.0, 80, None]
[48.0, 'Note', 'Parte_2', 1.0, 72, None]
[48.0, 'Rest', 'Parte_3', 3.0, 0, None]
[48.0, 'Note', 'Parte_4', 1.0, 56, None]
[48.0, 'Rest', 'Parte_5', 3.0, 0, None]
[48.0, 'Rest', 'Parte_6', 3.0, 0, None]
[49.0, 'Rest', 'Parte_1', 1.0, 0, None]
[49.0, 'Rest', 'Parte_2', 1.0, 0, None]
