[0.0, 'Formula de Compasso', '2/4']
[11.0, 'Rest', 'Parte_4', 0.25, 0, None]
[11.25, 'Note', 'Parte_1', 0.25, 76, None]
[11.25, 'Note', 'Parte_4', 0.25, 50, None]
[11.5, 'Note', 'Parte_1', 0.25, 74, None]
[11.5, 'Note', 'Parte_4', 0.25, 57, None]
[11.75, 'Note', 'Parte_1', 0.25, 72, None]
[11.75, 'Note', 'Parte_4', 0.25, 60, None]
[12.0, 'Note', 'Parte_1', 0.0, 74, None]
[12.0, 'Note', 'Parte_1', 0.25, 72, None]
[12.0, 'Rest', 'Parte_2', 2.0, 0, None]
[12.0, 'Rest', 'Parte_3', 2.0, 0, None]
[12.0, 'Rest', 'Parte_4', 0.25, 0, None]
[12.0, 'Rest', 'Parte_5', 2.0, 0, None]
[12.0, 'Rest', 'Parte_6', 2.0, 0, None]
[12.25, 'Note', 'Parte_1', 0.5, 71, None]
[12.25, 'Note', 'Parte_4', 0.25, 52, None]
[12.5, 'Note', 'Parte_4', 0.25, 55, None]
[12.75, 'Note', 'Parte_1', 0.25, 79, None]
[12.75, 'Note', 'Parte_4', 0.25, 59, None]
[13.0, 'Note', 'Parte_1', 0.25, 79, None]
[13.0, 'Rest', 'Parte_4', 0.25, 0, None]
[13.25, 'Note', 'Parte_1', 0.5, 69, None]
[13.25, 'Note', 'Parte_4', 0.25, 48, None]
[13.5, 'Note', 'Parte_4', 0.25, 52, None]
[13.75, 'Note', 'Parte_1', 0.25, 76, None]
[13.75, 'Note', 'Parte_4', 0.25, 57, None]
[14.0, 'Note', 'Parte_1', 0.25, 76, None]
[14.0, 'Rest', 'Parte_2', 2.0, 0, None]
[14.0, 'Rest', 'Parte_3', 2.0, 0, None]
[14.0, 'Rest', 'Parte_4', 0.25, 0, None]
[14.0, 'Rest', 'Parte_5', 2.0, 0, None]
[14.0, 'Rest', 'Parte_6', 2.0, 0, None]
[14.25, 'Note', 'Parte_1', 0.5, 67, None]
[14.25, 'Note', 'Parte_4', 0.25, 50, None]
[14.5, 'Note', 'Parte_4', 0.25, 55, None]
[14.75, 'Note', 'Parte_1', 0.25, 74, None]
[14.75, 'Note', 'Parte_4', 0.25, 59, None]
[15.0, 'Note', 'Parte_1', 0.25, 74, None]
[15.0, 'Rest', 'Parte_4', 0.25, 0, None]
[15.25, 'Note', 'Parte_1', 0.5, 60, None]
[15.25, 'Note', 'Parte_4', 0.25, 38, None]
[15.5, 'Note', 'Parte_4', 0.25, 45, None]
[15.75, 'Note', 'Parte_1', 0.25, 66, None]
[15.75, 'Note', 'Parte_4', 0.25, 50, None]
[16.0, 'Chord', 'Parte_1', 1.0, [59, 67], None]
[16.0, 'Rest', 'Parte_2', 2.0, 0, None]
[16.0, 'Rest', 'Parte_3', 2.0, 0, None]
[16.0, 'Note', 'Parte_4', 0.25, 43, None]
[16.0, 'Rest', 'Parte_5', 2.0, 0, None]
[16.0, 'Rest', 'Parte_6', 2.0, 0, None]
[16.25, 'Note', 'Parte_4', 0.25, 47, None]
[16.5, 'Note', 'Parte_4', 0.25, 50, None]
[16.75, 'Note', 'Parte_4', 0.25, 47, None]
[17.0, 'Rest', 'Parte_1', 0.5, 0, None]
[17.0, 'Note', 'Parte_4', 0.25, 43, None]
[17.25, 'Note', 'Parte_4', 0.25, 47, None]
[17.5, 'Note', 'Parte_1', 0.5, 74, None]
[17.5, 'Note', 'Parte_4', 0.25, 50, None]
[17.75, 'Note', 'Parte_4', 0.25, 47, None]
[18.0, 'Note', 'Parte_1', 0.5, 74, None]
[18.0, 'Rest', 'Parte_2', 1.5, 0, None]
[18.0, 'Rest', 'Parte_3', 2.0, 0, None]
[18.0, 'Rest', 'Parte_4', 1.5, 0, None]
[18.0, 'Note', 'Parte_5', 0.25, 43, None]
[18.0, 'Rest', 'Parte_6', 2.0, 0, None]
[18.25, 'Note', 'Parte_5', 0.25, 47, None]
[18.5, 'Note', 'Parte_1', 0.5, 74, None]
[18.5, 'Note', 'Parte_5', 0.25, 50, None]
[18.75, 'Note', 'Parte_5', 0.25, 47, None]
[19.0, 'Note', 'Parte_1', 0.5, 74, None]
[19.0, 'Note', 'Parte_5', 0.25, 43, None]
[19.25, 'Note', 'Parte_5', 0.25, 47, None]
[19.5, 'Note', 'Parte_1', 0.5, 74, None]
[19.5, 'Note', 'Parte_2', 0.0, 73, None]
[19.5, 'Note', 'Parte_2', 0.0, 74, None]
[19.5, 'Tuplet 5:4', 'Parte_2', [['Note', 0.125, 74, None], ['Note', 0.125, 76, None], ['Note', 0.125, 74, None], ['Note', 0.125, 73, None], ['Note', 0.125, 74, None]]]
[19.5, 'Rest', 'Parte_4', 0.5, 0, None]
[19.5, 'Note', 'Parte_5', 0.25, 50, None]
