[0.0, 'Tempo', 180.0]
[0.0, 'Formula de Compasso', '2/2']
[29.5, 'Note', 'Parte_1', 0.5, 77, None]
[29.5, 'Note', 'Parte_3', 0.5, 67, None]
[30.0, 'Note', 'Parte_1', 1.0, 74, None]
[30.0, 'Note', 'Parte_3', 0.5, 55, None]
[30.5, 'Note', 'Parte_3', 0.5, 59, None]
[31.0, 'Note', 'Parte_1', 0.5, 74, None]
[31.0, 'Note', 'Parte_3', 0.5, 62, None]
[31.5, 'Note', 'Parte_1', 0.5, 75, None]
[31.5, 'Note', 'Parte_3', 0.5, 67, None]
[32.0, 'Note', 'Parte_1', 1.0, 72, None]
[32.0, 'Rest', 'Parte_2', 4.0, 0, None]
[32.0, 'Rest', 'Parte_3', 0.5, 0, None]
[32.0, 'Rest', 'Parte_4', 4.0, 0, None]
[32.5, 'Note', 'Parte_3', 0.5, 48, None]
[33.0, 'Rest', 'Parte_1', 1.0, 0, None]
[33.0, 'Note', 'Parte_3', 0.5, 51, None]
[33.5, 'Note', 'Parte_3', 0.5, 55, None]
[34.0, 'Rest', 'Parte_1', 1.0, 0, None]
[34.0, 'Note', 'Parte_3', 1.0, 60, None]
[35.0, 'Note', 'Parte_1', 0.5, 77, None]
[35.0, 'Rest', 'Parte_3', 1.0, 0, None]
[35.5, 'Note', 'Parte_1', 0.5, 79, None]
[36.0, 'Chord', 'Parte_1', 2.0, [68, 80], None]
[36.0, 'Rest', 'Parte_2', 4.0, 0, None]
[36.0, 'Rest', 'Parte_3', 0.5, 0, None]
[36.0, 'Rest', 'Parte_4', 4.0, 0, None]
[36.5, 'Note', 'Parte_3', 0.5, 41, None]
[37.0, 'Note', 'Parte_3', 0.5, 47, None]
[37.5, 'Note', 'Parte_3', 0.5, 50, None]
[38.0, 'Note', 'Parte_1', 1.0, 74, None]
[38.0, 'Note', 'Parte_3', 0.5, 53, None]
[38.5, 'Note', 'Parte_3', 0.5, 56, None]
[39.0, 'Note', 'Parte_1', 0.5, 75, None]
[39.0, 'Note', 'Parte_3', 0.5, 55, None]
[39.5, 'Note', 'Parte_1', 0.5, 77, None]
[39.5, 'Note', 'Parte_3', 0.5, 53, None]
[40.0, 'Chord', 'Parte_1', 2.0, [67, 79], None]
[40.0, 'Rest', 'Parte_2', 4.0, 0, None]
[40.0, 'Rest', 'Parte_3', 0.5, 0, None]
[40.0, 'Rest', 'Parte_4', 4.0, 0, None]
[40.5, 'Note', 'Parte_3', 0.5, 39, None]
[41.0, 'Note', 'Parte_3', 0.5, 43, None]
[41.5, 'Note', 'Parte_3', 0.5, 48, None]
[42.0, 'Note', 'Parte_1', 1.0, 72, None]
[42.0, 'Note', 'Parte_3', 0.5, 51, None]
[42.5, 'Note', 'Parte_3', 0.5, 55, None]
[43.0, 'Note', 'Parte_1', 0.5, 72, None]
[43.0, 'Note', 'Parte_3', 0.5, 56, None]
[43.5, 'Note', 'Parte_1', 0.5, 74, None]
[43.5, 'Note', 'Parte_3', 0.5, 54, None]
[44.0, 'Note', 'Parte_1', 1.0, 75, None]
[44.0, 'Rest', 'Parte_2', 4.0, 0, None]
[44.0, 'Note', 'Parte_3', 0.5, 43, None]
[44.0, 'Rest', 'Parte_4', 4.0, 0, None]
[44.5, 'Note', 'Parte_3', 0.5, 55, None]
[45.0, 'Note', 'Parte_1', 0.5, 75, None]
[45.0, 'Note', 'Parte_3', 0.5, 60, None]
[45.5, 'Note', 'Parte_1', 0.5, 77, None]
[45.5, 'Note', 'Parte_3', 0.5, 55, None]
[46.0, 'Note', 'Parte_1', 1.0, 74, None]
[46.0, 'Note', 'Parte_3', 0.5, 43, None]
[46.5, 'Note', 'Parte_3', 0.5, 55, None]
[47.0, 'Note', 'Parte_1', 0.5, 74, None]
[47.0, 'Note', 'Parte_3', 0.5, 59, None]
[47.5, 'Note', 'Parte_1', 0.5, 75, None]
[47.5, 'Note', 'Parte_3', 0.5, 55, None]
[48.0, 'Note', 'Parte_1', 1.0, 72, None]
[48.0, 'Rest', 'Parte_2', 4.0, 0, None]
[48.0, 'Note', 'Parte_3', 0.5, 48, None]
[48.0, 'Rest', 'Parte_4', 4.0, 0, None]
[48.5, 'Note', 'Parte_3', 0.5, 60, None]
[49.0, 'Note', 'Parte_1', 2.0, 82, None]
[49.0, 'Note', 'Parte_3', 0.5, 59, None]
[49.5, 'Note', 'Parte_3', 0.5, 60, None]
[50.0, 'Note', 'Parte_3', 0.5, 52, None]
[50.5, 'Note', 'Parte_3', 0.5, 60, None]
[51.0, 'Note', 'Parte_1', 1.0, 82, 'start']
[51.0, 'Note', 'Parte_3', 0.5, 55, None]
[51.5, 'Note', 'Parte_3', 0.5, 60, None]
[52.0, 'Note', 'Parte_1', 0.5, 82, 'stop']
[52.0, 'Rest', 'Parte_2', 4.0, 0, None]
[52.0, 'Note', 'Parte_3', 0.5, 53, None]
