r,0.0,3.0
60,3.0,0.5
r,3.5,0.5
65,4.0,0.5
r,4.5,0.5
68,5.0,0.5
r,5.5,0.5
72,6.0,0.5
r,6.5,0.5
77,7.0,0.5
r,7.5,0.5
80,8.0,1.5
79,9.5,0.25
77,9.5,0.25
76,9.75,0.25
77,10.0,0.5
r,10.5,1.5
67,12.0,0.5
r,12.5,0.5
72,13.0,0.5
r,13.5,0.5
76,14.0,0.5
r,14.5,0.5
79,15.0,0.5
r,15.5,0.5
82,16.0,1.5
80,17.5,0.25
79,17.5,0.25
77,17.75,0.25
79,18.0,0.5
r,18.5,1.25
72,19.75,0.25
80,20.0,1.5
79,21.5,0.25
77,21.5,0.25
76,21.75,0.25
77,22.0,0.5
r,22.5,1.25
72,23.75,0.25
82,24.0,1.5
r,24.0,3.75
80,25.5,0.25
79,25.5,0.25
77,25.75,0.25
79,26.0,0.5
r,26.5,1.0
72,27.5,0.5
77,27.5,0.5
80,27.75,0.25
84,27.75,0.25
72,28.0,11/6
77,28.0,11/6
80,28.0,1.75
84,28.0,1.75
r,179/6,1/6
82,30.0,0.5
80,30.5,0.5
79,31.0,0.5
77,31.5,0.5
76,32.0,0.25
77,32.0,0.25
79,32.0,0.25
77,32.25,0.75
76,33.0,1.5
r,34.5,0.5
r,35.0,1.0
r,36.0,4.0
r,40.0,4.0
68,44.0,4.0
r,44.0,1.5
75,45.5,0.25
73,45.5,0.25
72,45.75,0.25
73,46.0,0.5
r,46.5,0.5
73,47.0,0.5
r,47.5,0.5
73,48.0,5.5
r,48.0,1.5
70,49.5,0.25
68,49.5,0.25
67,49.75,0.25
68,50.0,0.5
r,50.5,0.5
68,51.0,0.5
r,51.5,0.5
67,52.0,4.0
r,52.0,1.5
73,52.0,1.5
75,53.5,0.25
73,53.5,0.25
72,53.75,0.25
73,54.0,0.5
r,54.5,0.5
73,55.0,0.5
r,55.5,0.5
r,56.0,1.5
73,57.5,0.25
72,57.5,0.25
71,57.75,0.25
72,58.0,0.5
r,58.5,0.5
72,59.0,0.5
r,59.5,0.5
65,60.0,4.0
72,60.0,1.0
70,61.0,2.0
68,63.0,1.0
67,64.0,0.5
r,64.5,0.5
75,65.0,1.0
73,66.0,0.5
r,66.5,0.5
72,67.0,2.0
70,69.0,2.0
68,71.0,1.0
67,72.0,0.5
r,72.5,0.5
63,73.0,1.0
75,73.0,1.0
61,74.0,1.0
73,74.0,1.0
60,75.0,2.0
72,75.0,2.0
58,77.0,2.0
70,77.0,2.0
56,79.0,1.0
68,79.0,1.0
55,80.0,1.0
67,80.0,1.0
r,81.0,2.0
76,83.0,1.0
75,84.0,1.0
73,85.0,1.0
70,86.0,1.0
67,87.0,1.0
64,88.0,1.5
63,89.5,0.5
68,90.0,0.5
r,90.5,0.5
76,91.0,1.0
75,92.0,1.0
73,93.0,1.0
70,94.0,1.0
67,95.0,1.0
64,96.0,1.5
63,97.5,0.5
68,98.0,0.5
r,98.5,0.5
76,99.0,1.0
75,100.0,1.0
73,101.0,1.0
70,102.0,1.0
67,103.0,1.0
r,104.0,0.5
67,104.5,0.5
70,105.0,0.5
68,105.5,0.5
r,106.0,0.5
69,106.5,0.5
72,107.0,0.5
70,107.5,0.5
r,108.0,0.5
71,108.5,0.5
73,109.0,0.5
72,109.5,0.5
r,110.0,0.5
74,110.5,0.5
80,111.0,0.5
74,111.5,0.5
75,112.0,1.0
r,113.0,1.5
74,114.5,0.5
80,115.0,0.5
74,115.5,0.5
75,116.0,1.0
r,117.0,1.5
79,118.5,0.5
88,119.0,0.5
79,119.5,0.5
80,120.0,1.0
r,121.0,1.5
79,122.5,0.5
88,123.0,0.5
79,123.5,0.5
r,124.0,0.5
79,124.5,0.5
82,125.0,0.5
80,125.5,0.5
r,126.0,0.5
81,126.5,0.5
84,127.0,0.5
82,127.5,0.5
r,128.0,0.5
83,128.5,0.5
85,129.0,0.5
84,129.5,0.5
r,130.0,0.5
84,130.5,0.5
87,131.0,0.5
85,131.5,0.5
r,132.0,0.5
86,132.5,0.5
89,133.0,0.5
87,133.5,0.5
85,134.0,0.5
84,134.5,0.5
82,135.0,0.5
80,135.5,0.5
79,136.0,0.5
77,136.5,0.5
75,137.0,0.5
73,137.5,0.5
72,138.0,0.5
70,138.5,0.5
68,139.0,0.5
67,139.5,0.5
65,140.0,0.5
63,140.5,0.5
62,141.0,0.5
63,141.5,0.5
62,142.0,0.5
63,142.5,0.5
62,143.0,0.5
63,143.5,0.5
62,144.0,0.5
63,144.5,0.5
65,145.0,0.5
63,145.5,0.5
62,146.0,0.5
63,146.5,0.5
65,147.0,0.5
63,147.5,0.5
r,148.0,0.5
80,148.5,0.5
89,149.0,0.5
87,149.5,0.5
85,150.0,0.5
84,150.5,0.5
82,151.0,0.5
80,151.5,0.5
79,152.0,0.5
77,152.5,0.5
75,153.0,0.5
73,153.5,0.5
72,154.0,0.5
70,154.5,0.5
68,155.0,0.5
67,155.5,0.5
65,156.0,0.5
63,156.5,0.5
61,157.0,0.5
60,157.5,0.5
58,158.0,0.5
56,158.5,0.5
55,159.0,0.5
53,159.5,0.5
51,160.0,0.5
53,160.5,0.5
55,161.0,0.5
56,161.5,0.5
58,162.0,0.5
60,162.5,0.5
61,163.0,0.5
58,163.5,0.5
56,164.0,1.0
r,165.0,0.75
62,165.75,0.25
71,166.0,1.5
70,167.5,0.5
68,168.0,2.0
67,170.0,1.5
75,171.5,0.5
75,172.0,1.0
68,173.0,0.75
62,173.75,0.25
71,174.0,1.5
70,175.5,0.5
68,176.0,2.0
67,178.0,1.5
75,179.5,0.5
75,180.0,1.0
68,181.0,0.75
74,181.75,0.25
83,182.0,1.5
82,183.5,0.5
80,184.0,2.0
79,186.0,1.5
87,187.5,0.5
73,188.0,4.0
80,188.0,4.0
87,188.0,4.0
72,192.0,1.0
75,192.0,1.0
80,192.0,1.0
r,193.0,2.0
60,195.0,0.5
r,195.5,0.5
65,196.0,0.5
r,196.5,0.5
68,197.0,0.5
r,197.5,0.5
72,198.0,0.5
r,198.5,0.5
77,199.0,0.5
r,199.5,0.5
80,200.0,1.5
79,201.5,0.25
77,201.5,0.25
76,201.75,0.25
77,202.0,0.5
r,202.5,1.5
67,204.0,0.5
r,204.5,0.5
72,205.0,0.5
r,205.5,0.5
76,206.0,0.5
r,206.5,0.5
79,207.0,0.5
r,207.5,0.5
82,208.0,1.5
80,209.5,0.25
79,209.5,0.25
77,209.75,0.25
79,210.0,0.5
r,210.5,1.25
72,211.75,0.25
80,212.0,1.5
79,213.5,0.25
77,213.5,0.25
76,213.75,0.25
77,214.0,0.5
r,214.5,1.25
72,215.75,0.25
82,216.0,1.5
r,216.0,3.75
80,217.5,0.25
79,217.5,0.25
77,217.75,0.25
79,218.0,0.5
r,218.5,1.0
72,219.5,0.5
77,219.5,0.5
80,219.75,0.25
84,219.75,0.25
72,220.0,11/6
77,220.0,11/6
80,220.0,1.75
84,220.0,1.75
r,1331/6,1/6
82,222.0,0.5
80,222.5,0.5
79,223.0,0.5
77,223.5,0.5
76,224.0,0.25
77,224.0,0.25
79,224.0,0.25
77,224.25,0.75
76,225.0,1.5
r,226.5,0.5
r,227.0,1.0
r,228.0,4.0
r,232.0,4.0
68,236.0,4.0
r,236.0,1.5
75,237.5,0.25
73,237.5,0.25
72,237.75,0.25
73,238.0,0.5
r,238.5,0.5
73,239.0,0.5
r,239.5,0.5
73,240.0,5.5
r,240.0,1.5
70,241.5,0.25
68,241.5,0.25
67,241.75,0.25
68,242.0,0.5
r,242.5,0.5
68,243.0,0.5
r,243.5,0.5
67,244.0,4.0
r,244.0,1.5
73,244.0,1.5
75,245.5,0.25
73,245.5,0.25
72,245.75,0.25
73,246.0,0.5
r,246.5,0.5
73,247.0,0.5
r,247.5,0.5
r,248.0,1.5
73,249.5,0.25
72,249.5,0.25
71,249.75,0.25
72,250.0,0.5
r,250.5,0.5
72,251.0,0.5
r,251.5,0.5
65,252.0,4.0
72,252.0,1.0
70,253.0,2.0
68,255.0,1.0
67,256.0,0.5
r,256.5,0.5
75,257.0,1.0
73,258.0,0.5
r,258.5,0.5
72,259.0,2.0
70,261.0,2.0
68,263.0,1.0
67,264.0,0.5
r,264.5,0.5
63,265.0,1.0
75,265.0,1.0
61,266.0,1.0
73,266.0,1.0
60,267.0,2.0
72,267.0,2.0
58,269.0,2.0
70,269.0,2.0
56,271.0,1.0
68,271.0,1.0
55,272.0,1.0
67,272.0,1.0
r,273.0,2.0
76,275.0,1.0
75,276.0,1.0
73,277.0,1.0
70,278.0,1.0
67,279.0,1.0
64,280.0,1.5
63,281.5,0.5
68,282.0,0.5
r,282.5,0.5
76,283.0,1.0
75,284.0,1.0
73,285.0,1.0
70,286.0,1.0
67,287.0,1.0
64,288.0,1.5
63,289.5,0.5
68,290.0,0.5
r,290.5,0.5
76,291.0,1.0
75,292.0,1.0
73,293.0,1.0
70,294.0,1.0
67,295.0,1.0
r,296.0,0.5
67,296.5,0.5
70,297.0,0.5
68,297.5,0.5
r,298.0,0.5
69,298.5,0.5
72,299.0,0.5
70,299.5,0.5
r,300.0,0.5
71,300.5,0.5
73,301.0,0.5
72,301.5,0.5
r,302.0,0.5
74,302.5,0.5
80,303.0,0.5
74,303.5,0.5
75,304.0,1.0
r,305.0,1.5
74,306.5,0.5
80,307.0,0.5
74,307.5,0.5
75,308.0,1.0
r,309.0,1.5
79,310.5,0.5
88,311.0,0.5
79,311.5,0.5
80,312.0,1.0
r,313.0,1.5
79,314.5,0.5
88,315.0,0.5
79,315.5,0.5
r,316.0,0.5
79,316.5,0.5
82,317.0,0.5
80,317.5,0.5
