84,4.0,204.0,0
82,2.0,208.0,0
79,1.0,210.0,0
77,1.0,211.0,0
77,1.0,212.0,0
75,1.0,213.0,0
74,1.0,214.0,0
72,1.0,215.0,0
74,4.0,216.0,0
72,4.0,220.0,0
70,2.0,224.0,0
67,1.0,226.0,0
65,1.0,227.0,0
65,1.0,228.0,0
63,1.0,229.0,0
62,1.0,230.0,0
60,1.0,231.0,0
58,2.5,232.0,0
53,0.5,234.5,0
50,0.5,235.0,0
58,1.0,235.5,0
58,0.5,236.5,0
57,0.5,237.0,0
58,0.5,237.5,0
60,0.5,238.0,0
62,0.5,238.5,0
63,0.5,239.0,0
60,0.5,239.5,0
70,2.5,240.0,0
65,0.5,242.5,0
62,0.5,243.0,0
70,1.0,243.5,0
70,0.5,244.5,0
69,0.5,245.0,0
70,0.5,245.5,0
72,0.5,246.0,0
74,0.5,246.5,0
75,0.5,247.0,0
72,0.5,247.5,0
74,0.5,248.0,0
72,0.5,248.5,0
70,1.5,249.0,0
67,0.5,250.5,0
65,1.5,251.0,0
63,0.5,252.5,0
62,1.5,253.0,0
60,0.5,254.5,0
58,1.5,255.0,0
55,0.5,256.5,0
53,1.5,257.0,0
51,0.5,258.5,0
50,1.5,259.0,0
48,0.5,260.5,0
46,1.5,261.0,0
48,0.5,262.5,0
46,2.0,263.0,0
r,3.0,265.0,0
r,4.0,268.0,0
77,4.0,272.0,0
79,4.0,276.0,0
80,3.0,280.0,0
74,0.5,283.0,0
79,0.5,283.5,0
79,1.0,284.0,0
72,0.5,285.0,0
77,0.5,285.5,0
77,1.0,286.0,0
70,0.5,287.0,0
75,0.5,287.5,0
75,2.0,288.0,0
74,1.0,290.0,0
75,1.0,291.0,0
77,1.0,292.0,0
79,1.0,293.0,0
80,1.0,294.0,0
82,1.0,295.0,0
79,0.5,296.0,0
r,1.5,296.5,0
82,0.5,298.0,0
r,1.25,298.5,0
r,0.25,299.75,0
94,3.0,300.0,0
82,3.0,300.0,0
82,4.0,303.0,0
79,1.0,307.0,0
77,1.0,308.0,0
74,1.0,309.0,0
71,1.0,310.0,0
70,1.0,311.0,0
70,0.5,312.0,0
r,1.5,312.5,0
82,0.5,314.0,0
r,1.25,314.5,0
r,0.25,315.75,0
94,3.0,316.0,0
82,3.0,316.0,0
82,4.0,319.0,0
79,1.0,323.0,0
76,1.0,324.0,0
77,1.0,325.0,0
72,1.0,326.0,0
75,1.0,327.0,0
74,0.5,328.0,0
70,0.5,328.5,0
69,0.5,329.0,0
70,0.5,329.5,0
72,0.5,330.0,0
74,0.5,330.5,0
75,0.5,331.0,0
77,0.5,331.5,0
79,2.0,332.0,0
84,0.5,334.0,0
82,0.5,334.5,0
80,0.5,335.0,0
79,0.5,335.5,0
77,1.0,336.0,0
r,1.0,337.0,0
96,0.5,338.0,0
94,0.5,338.5,0
92,0.5,339.0,0
91,0.5,339.5,0
89,1.0,340.0,0
84,0.5,341.0,0
82,0.5,341.5,0
80,0.5,342.0,0
79,0.25,342.5,0
r,0.25,342.75,0
77,0.25,343.0,0
r,0.25,343.25,0
78,0.25,343.5,0
r,0.25,343.75,0
79,0.25,344.0,0
r,0.25,344.25,0
81,0.25,344.5,0
r,0.25,344.75,0
83,0.25,345.0,0
r,0.25,345.25,0
83,0.25,345.5,0
r,0.25,345.75,0
84,0.25,346.0,0
r,0.25,346.25,0
86,0.25,346.5,0
r,0.25,346.75,0
87,0.25,347.0,0
r,0.25,347.25,0
88,0.25,347.5,0
r,0.25,347.75,0
88,0.75,348.0,0
r,1.25,348.75,0
89,0.75,350.0,0
r,0.25,350.75,0
r,1.0,351.0,0
75,3.0,352.0,0
77,2/3,355.0,0
r,1/3,1067/3,0
78,8/3,356.0,0
r,5/6,1076/3,0
r,0.5,359.5,0
75,3.0,360.0,0
77,2/3,363.0,0
r,1/3,1091/3,0
79,4.0,364.0,0
78,0.75,368.0,0
r,3.25,368.75,0
77,0.75,372.0,0
r,3.0,372.75,0
r,0.25,375.75,0
77,0.75,376.0,0
r,1.25,376.75,0
77,0.75,378.0,0
r,1.25,378.75,0
77,0.75,380.0,0
r,1.25,380.75,0
77,0.75,382.0,0
r,0.75,382.75,0
r,0.5,383.5,0
78,0.75,384.0,0
r,3.25,384.75,0
77,0.75,388.0,0
r,3.0,388.75,0
r,0.25,391.75,0
77,0.75,392.0,0
r,1.25,392.75,0
77,0.75,394.0,0
r,1.25,394.75,0
77,0.75,396.0,0
r,1.0,396.75,0
r,0.25,397.75,0
77,1.0,398.0,0
75,2.0,399.0,0
74,1.0,401.0,0
72,0.75,402.0,0
r,0.25,402.75,0
