r,3.0,0.0,0
69,3.0,3.0,0
69,1.0,6.0,0
67,4.0,7.0,0
66,0.5,11.0,0
64,0.5,11.5,0
62,2.0,12.0,0
61,1.0,14.0,0
59,2.0,15.0,0
57,1.0,17.0,0
57,3.0,18.0,0
62,3.0,21.0,0
64,2.0,24.0,0
66,0.5,26.0,0
67,0.5,26.5,0
66,1.0,27.0,0
r,2.0,28.0,0
r,3.0,30.0,0
81,3.0,33.0,0
81,1.0,36.0,0
79,4.0,37.0,0
78,0.5,41.0,0
76,0.5,41.5,0
74,2.0,42.0,0
73,1.0,44.0,0
71,2.0,45.0,0
69,1.0,47.0,0
69,3.0,48.0,0
74,3.0,51.0,0
76,2.0,54.0,0
78,0.5,56.0,0
79,0.5,56.5,0
78,1.0,57.0,0
r,2.0,58.0,0
62,4.0,60.0,0
64,1.0,64.0,0
66,1.0,65.0,0
69,1.0,66.0,0
67,4.0,67.0,0
66,2.0,71.0,0
64,1.0,73.0,0
62,2.0,74.0,0
61,1.0,76.0,0
57,1.5,77.0,0
62,0.5,78.5,0
66,0.5,79.0,0
69,0.5,79.5,0
74,0.5,80.0,0
78,0.5,80.5,0
81,0.5,81.0,0
78,0.5,81.5,0
74,1/3,82.0,0
69,1/3,247/3,0
66,1/3,248/3,0
69,1/3,83.0,0
67,1/3,250/3,0
64,1/3,251/3,0
74,4.0,84.0,0
76,1.0,88.0,0
78,1.0,89.0,0
81,1.0,90.0,0
79,4.0,91.0,0
78,2.0,95.0,0
76,1.0,97.0,0
74,2.0,98.0,0
73,1.0,100.0,0
69,1.5,101.0,0
62,0.5,102.5,0
66,0.5,103.0,0
69,0.5,103.5,0
74,0.5,104.0,0
78,0.5,104.5,0
81,1.0,105.0,0
79,1.0,106.0,0
78,2.0,107.0,0
76,1.0,109.0,0
74,2.0,110.0,0
73,1.0,112.0,0
76,1.0,113.0,0
74,1.0,114.0,0
r,2.0,115.0,0
71,3.0,117.0,0
69,4.0,120.0,0
68,0.5,124.0,0
71,0.5,124.5,0
74,2.0,125.0,0
73,1.0,127.0,0
r,1.0,128.0,0
78,3.0,129.0,0
76,4.0,132.0,0
75,0.5,136.0,0
78,0.5,136.5,0
81,2.0,137.0,0
80,1.0,139.0,0
r,1.0,140.0,0
r,0.5,141.0,0
71,0.5,141.5,0
70,0.5,142.0,0
71,0.5,142.5,0
73,0.5,143.0,0
71,0.5,143.5,0
69,3.0,144.0,0
68,0.5,147.0,0
69,0.5,147.5,0
71,0.5,148.0,0
73,0.5,148.5,0
74,0.5,149.0,0
76,0.5,149.5,0
74,0.5,150.0,0
73,0.5,150.5,0
71,0.5,151.0,0
69,0.5,151.5,0
68,0.5,152.0,0
69,0.5,152.5,0
r,0.5,153.0,0
78,0.5,153.5,0
77,0.5,154.0,0
78,0.5,154.5,0
80,0.5,155.0,0
78,0.5,155.5,0
77,0.5,156.0,0
78,0.5,156.5,0
76,2.0,157.0,0
75,0.5,159.0,0
76,0.5,159.5,0
78,0.5,160.0,0
80,0.5,160.5,0
81,0.5,161.0,0
83,0.5,161.5,0
81,0.5,162.0,0
80,0.5,162.5,0
78,0.5,163.0,0
76,0.5,163.5,0
75,0.5,164.0,0
76,0.5,164.5,0
75,0.5,165.0,0
76,0.5,165.5,0
78,0.5,166.0,0
80,0.5,166.5,0
81,0.5,167.0,0
83,0.5,167.5,0
81,0.5,168.0,0
80,0.5,168.5,0
78,0.5,169.0,0
76,0.5,169.5,0
75,0.5,170.0,0
76,0.5,170.5,0
75,0.5,171.0,0
76,0.5,171.5,0
78,0.5,172.0,0
80,0.5,172.5,0
81,0.5,173.0,0
83,0.5,173.5,0
81,0.5,174.0,0
80,0.5,174.5,0
78,0.5,175.0,0
76,0.5,175.5,0
75,0.5,176.0,0
73,0.5,176.5,0
71,0.5,177.0,0
69,0.5,177.5,0
68,0.5,178.0,0
66,0.5,178.5,0
64,0.5,179.0,0
63,0.5,179.5,0
64,6.0,180.0,0
65,3.0,186.0,0
66,3.0,189.0,0
68,3.0,192.0,0
69,3.0,195.0,0
70,3.0,198.0,0
71,1.0,201.0,0
73,1.0,202.0,0
74,1.0,203.0,0
69,2.0,204.0,0
68,1.0,206.0,0
69,0.5,207.0,0
73,0.5,207.5,0
71,0.5,208.0,0
69,0.5,208.5,0
68,0.5,209.0,0
66,0.5,209.5,0
65,3.0,210.0,0
66,3.0,213.0,0
68,3.0,216.0,0
69,3.0,219.0,0
71,3.0,222.0,0
72,3.0,225.0,0
73,5.0,228.0,0
72,1.0,233.0,0
73,2.0,234.0,0
72,1.0,236.0,0
73,2.0,237.0,0
72,1.0,239.0,0
73,5.0,240.0,0
73,1.0,245.0,0
74,2.0,246.0,0
73,1.0,248.0,0
74,2.0,249.0,0
73,1.0,251.0,0
74,6.0,252.0,0
74,2.0,258.0,0
73,1.0,260.0,0
74,2.0,261.0,0
73,1.0,263.0,0
74,5.0,264.0,0
74,1.0,269.0,0
73,2.0,270.0,0
74,1.0,272.0,0
73,2.0,273.0,0
71,1.0,275.0,0
69,5.0,276.0,0
71,1.0,281.0,0
69,2.0,282.0,0
71,1.0,284.0,0
69,2.0,285.0,0
67,1.0,287.0,0
66,5.0,288.0,0
67,1.0,293.0,0
66,2.0,294.0,0
67,1.0,296.0,0
66,2.0,297.0,0
68,1.0,299.0,0
69,2.0,300.0,0
71,1.0,302.0,0
73,2.0,303.0,0
74,1.0,305.0,0
76,3.0,306.0,0
76,1/3,309.0,0
75,1/3,928/3,0
78,1/3,929/3,0
76,1/3,310.0,0
74,1/3,931/3,0
73,1/3,932/3,0
71,1/3,311.0,0
69,1/3,311.0,0
68,0.25,934/3,0
66,0.25,934/3,0
r,1/6,3739/12,0
64,0.25,311.75,0
81,3.0,312.0,0
r,3.0,315.0,0
81,1/3,318.0,0
80,1/3,955/3,0
83,1/3,956/3,0
81,1/3,319.0,0
80,1/3,958/3,0
78,1/3,959/3,0
76,1/3,320.0,0
74,1/3,320.0,0
73,0.25,961/3,0
71,0.25,961/3,0
r,1/6,3847/12,0
69,0.25,320.75,0
68,1.0,321.0,0
r,2.0,322.0,0
76,5.0,324.0,0
75,1.0,329.0,0
76,2.0,330.0,0
78,1.0,332.0,0
76,2.0,333.0,0
74,1.0,335.0,0
73,5.0,336.0,0
72,1.0,341.0,0
73,2.0,342.0,0
74,1.0,344.0,0
73,2.0,345.0,0
71,1.0,347.0,0
69,5.0,348.0,0
68,1.0,353.0,0
69,2.0,354.0,0
68,1.0,356.0,0
69,2.0,357.0,0
70,1.0,359.0,0
71,2.0,360.0,0
73,1.0,362.0,0
74,2.0,363.0,0
75,1.0,365.0,0
76,2.0,366.0,0
78,1.0,368.0,0
79,2.0,369.0,0
80,1.0,371.0,0
81,3.0,372.0,0
81,1/3,375.0,0
80,1/3,1126/3,0
83,1/3,1127/3,0
81,1/3,376.0,0
80,1/3,1129/3,0
78,1/3,1130/3,0
76,1/3,377.0,0
74,1/3,377.0,0
73,0.25,1132/3,0
71,0.25,1132/3,0
r,1/6,4531/12,0
69,0.25,377.75,0
81,3.0,378.0,0
r,3.0,381.0,0
81,1/3,384.0,0
80,1/3,1153/3,0
83,1/3,1154/3,0
81,1/3,385.0,0
80,1/3,1156/3,0
78,1/3,1157/3,0
76,1/3,386.0,0
74,1/3,386.0,0
73,0.25,1159/3,0
71,0.25,1159/3,0
r,1/6,4639/12,0
69,0.25,386.75,0
r,3.0,387.0,0
76,7.0,390.0,0
74,1.0,397.0,0
73,1.0,398.0,0
73,2.0,399.0,0
71,1.0,401.0,0
69,1.0,402.0,0
r,1.0,403.0,0
76,3.0,404.0,0
64,3.0,407.0,0
69,2.0,410.0,0
68,1.0,412.0,0
74,2.0,413.0,0
73,1.0,415.0,0
81,3.0,416.0,0
69,3.0,419.0,0
78,2.0,422.0,0
76,1.0,424.0,0
74,1.0,425.0,0
73,1.0,426.0,0
69,1.0,427.0,0
64,3.0,428.0,0
76,3.0,428.0,0
52,3.0,433.0,0
64,3.0,433.0,0
57,2.0,438.0,0
69,2.0,438.0,0
56,1.0,441.0,0
68,1.0,441.0,0
62,2.0,442.0,0
74,2.0,442.0,0
61,1.0,445.0,0
73,1.0,445.0,0
69,3.0,446.0,0
81,3.0,446.0,0
57,3.0,451.0,0
69,3.0,451.0,0
66,2.0,456.0,0
78,2.0,456.0,0
64,1.0,459.0,0
76,1.0,459.0,0
62,1.0,460.0,0
74,1.0,460.0,0
61,1.0,461.0,0
73,1.0,461.0,0
69,1.0,462.0,0
69,3.0,463.0,0
81,3.0,463.0,0
57,3.0,468.0,0
69,3.0,468.0,0
66,2.0,473.0,0
78,2.0,473.0,0
64,1.0,476.0,0
76,1.0,476.0,0
62,1.0,477.0,0
74,1.0,477.0,0
61,1.0,478.0,0
73,1.0,478.0,0
69,1.0,479.0,0
66,2.0,480.0,0
78,2.0,480.0,0
64,1.0,483.0,0
76,1.0,483.0,0
62,1.0,484.0,0
74,1.0,484.0,0
61,1.0,485.0,0
73,1.0,485.0,0
69,1.0,486.0,0
66,2.0,487.0,0
64,1.0,489.0,0
62,2.0,490.0,0
61,1.0,492.0,0
59,1.0,493.0,0
r,3.0,494.0,0
r,3.0,497.0,0
r,3.0,500.0,0
r,3.0,503.0,0
r,3.0,506.0,0
69,3.0,509.0,0
69,1.0,512.0,0
67,4.0,513.0,0
66,0.5,517.0,0
64,0.5,517.5,0
62,2.0,518.0,0
61,1.0,520.0,0
59,2.0,521.0,0
57,1.0,523.0,0
57,3.0,524.0,0
62,3.0,527.0,0
64,2.0,530.0,0
66,0.5,532.0,0
67,0.5,532.5,0
66,1.0,533.0,0
r,2.0,534.0,0
r,3.0,536.0,0
81,3.0,539.0,0
81,1.0,542.0,0
79,4.0,543.0,0
78,0.5,547.0,0
76,0.5,547.5,0
74,2.0,548.0,0
73,1.0,550.0,0
71,2.0,551.0,0
