41,1.5,0.0,0
29,1.5,0.0,0
r,0.5,0.0,0
r,0.75,0.0,0
48,1/3,0.5,0
48,0.25,0.75,0
r,1/6,5/6,0
57,0.5,1.0,0
r,4/3,1.0,0
41,1.5,1.5,0
29,1.5,1.5,0
r,0.5,1.5,0
57,0.5,2.0,0
57,0.25,7/3,0
63,0.5,2.5,0
r,5/12,31/12,0
r,0.5,3.0,0
64,0.25,3.5,0
56,0.25,3.5,0
52,0.25,3.5,0
40,0.25,3.5,0
r,0.25,3.75,0
64,0.5,4.0,0
56,0.5,4.0,0
59,0.5,4.0,0
52,0.5,4.0,0
40,0.5,4.0,0
64,1.0,4.5,0
59,1.0,4.5,0
56,1.0,4.5,0
52,1.0,4.5,0
40,1.0,4.5,0
r,0.5,5.5,0
52,4/3,6.0,0
40,4/3,6.0,0
r,0.5,6.0,0
r,0.75,6.0,0
59,1/3,6.5,0
59,0.25,6.75,0
r,1/6,41/6,0
67,0.5,7.0,0
r,1.5,7.0,0
r,1/6,22/3,0
52,1.5,7.5,0
40,1.5,7.5,0
r,0.5,7.5,0
61,1/3,8.0,0
61,0.25,25/3,0
70,1/3,8.5,0
r,5/12,103/12,0
r,1/6,53/6,0
52,1/6,9.0,0
40,1/6,9.0,0
r,1/3,55/6,0
59,0.5,9.5,0
66,0.5,9.5,0
71,0.5,9.5,0
51,0.5,9.5,0
47,0.5,9.5,0
39,0.5,9.5,0
71,0.5,10.0,0
66,0.5,10.0,0
59,0.5,10.0,0
47,0.5,10.0,0
39,0.5,10.0,0
59,1.0,10.5,0
66,1.0,10.5,0
71,1.0,10.5,0
51,1.0,10.5,0
47,1.0,10.5,0
39,1.0,10.5,0
r,0.5,11.5,0
50,1.5,12.0,0
38,1.5,12.0,0
r,0.5,12.0,0
r,0.75,12.0,0
65,1/3,12.5,0
65,0.25,12.75,0
r,1/6,77/6,0
71,0.5,13.0,0
r,1.5,13.0,0
37,1.5,13.5,0
49,1.5,13.5,0
r,0.5,13.5,0
71,1/3,14.0,0
71,0.25,43/3,0
77,1.0,14.5,0
r,5/12,175/12,0
36,0.5,15.0,0
48,0.5,15.0,0
76,0.5,15.5,0
36,0.5,15.5,0
48,0.5,15.5,0
79,0.5,16.0,0
36,0.5,16.0,0
48,0.5,16.0,0
64,1.0,16.5,0
70,1.0,16.5,0
36,1.0,16.5,0
48,1.0,16.5,0
r,0.5,17.5,0
r,0.5,18.0,0
65,0.5,18.5,0
69,0.5,18.5,0
38,0.5,18.5,0
50,0.5,18.5,0
77,0.5,19.0,0
69,0.5,19.0,0
38,0.5,19.0,0
50,0.5,19.0,0
65,1.0,19.5,0
69,1.0,19.5,0
38,1.0,19.5,0
50,1.0,19.5,0
r,0.5,20.5,0
34,0.25,21.0,0
46,0.25,21.0,0
r,0.25,21.25,0
58,1/3,21.5,0
62,1/3,21.5,0
67,1/3,21.5,0
r,1/6,131/6,0
r,0.5,22.0,0
48,0.5,22.5,0
36,0.5,22.5,0
58,0.25,23.0,0
55,0.25,23.0,0
64,0.25,23.0,0
r,0.25,23.25,0
r,0.5,23.5,0
41,0.25,24.0,0
29,0.25,24.0,0
r,0.25,24.25,0
57,0.5,24.5,0
60,0.5,24.5,0
65,0.5,24.5,0
36,0.5,24.5,0
29,0.5,24.5,0
69,0.5,25.0,0
60,0.5,25.0,0
57,0.5,25.0,0
41,0.5,25.0,0
29,0.5,25.0,0
60,1.0,25.5,0
65,1.0,25.5,0
57,1.0,25.5,0
29,1.0,25.5,0
41,1.0,25.5,0
48,0.5,26.5,0
48,0.25,27.0,0
48,0.25,27.0,0
41,0.75,27.0,0
48,0.75,27.0,0
57,0.75,27.0,0
r,0.5,27.25,0
40,0.25,27.75,0
48,0.25,27.75,0
55,0.25,27.75,0
r,2.25,27.75,0
57,0.25,28.0,0
48,0.25,28.0,0
41,0.25,28.0,0
58,0.25,28.25,0
43,0.25,28.25,0
48,0.25,28.25,0
59,0.25,28.5,0
44,0.25,28.5,0
48,0.25,28.5,0
60,0.5,28.75,0
48,0.5,28.75,0
45,0.5,28.75,0
62,0.5,29.25,0
48,0.5,29.25,0
46,0.5,29.25,0
58,0.25,29.75,0
43,0.25,29.75,0
48,0.25,29.75,0
57,0.25,29.75,0
41,0.25,29.75,0
55,0.25,30.0,0
40,2/3,30.0,0
48,2/3,30.0,0
66,0.25,30.25,0
67,0.25,30.5,0
r,7/3,92/3,0
69,0.25,30.75,0
60,0.25,30.75,0
54,0.25,30.75,0
70,0.25,31.0,0
60,0.25,31.0,0
55,0.25,31.0,0
78,0.25,31.25,0
60,0.25,31.25,0
57,0.25,31.25,0
79,0.25,31.5,0
58,0.25,31.5,0
60,0.25,31.5,0
81,0.25,31.75,0
42,0.25,31.75,0
82,0.25,32.0,0
43,0.25,32.0,0
45,0.25,32.25,0
48,0.25,32.5,0
46,0.25,32.5,0
43,0.25,32.75,0
48,0.25,32.75,0
48,0.25,32.75,0
48,0.25,33.0,0
40,0.25,33.0,0
58,2/3,33.0,0
48,0.5,33.25,0
43,0.5,33.25,0
r,5/6,101/3,0
57,0.25,33.75,0
48,0.25,33.75,0
42,0.25,33.75,0
58,0.25,34.0,0
48,0.25,34.0,0
43,0.25,34.0,0
60,0.25,34.25,0
48,0.25,34.25,0
45,0.25,34.25,0
61,0.25,34.5,0
48,0.75,34.5,0
46,0.75,34.5,0
62,0.5,34.75,0
48,0.5,35.25,0
40,0.5,35.25,0
60,0.5,35.25,0
55,0.5,35.25,0
r,0.75,35.25,0
48,0.25,35.75,0
36,0.25,35.75,0
62,0.25,35.75,0
52,0.25,35.75,0
58,0.25,35.75,0
41,0.75,36.0,0
48,0.75,36.0,0
53,0.25,36.0,0
57,0.25,36.0,0
68,0.25,36.25,0
69,0.25,36.5,0
71,0.25,36.75,0
56,0.25,36.75,0
r,1.25,36.75,0
72,0.25,37.0,0
57,0.25,37.0,0
59,0.25,37.25,0
80,0.25,37.25,0
81,0.25,37.5,0
60,0.25,37.5,0
44,0.25,37.75,0
83,0.25,37.75,0
45,0.25,38.0,0
84,0.5,38.0,0
47,0.25,38.25,0
48,1/3,38.5,0
72,1/3,38.5,0
r,0.25,38.5,0
46,0.25,38.75,0
72,0.25,38.75,0
r,1/6,233/6,0
45,0.5,39.0,0
65,0.5,39.0,0
r,0.75,39.0,0
60,1/3,39.5,0
57,1/3,39.5,0
77,1/3,39.5,0
77,0.25,39.75,0
r,1/6,239/6,0
76,0.5,40.0,0
58,0.5,40.0,0
67,1.0,40.0,0
60,1.0,40.0,0
79,0.5,40.5,0
52,0.5,40.5,0
70,0.5,41.0,0
64,0.5,41.0,0
48,0.5,41.0,0
55,0.5,41.0,0
r,1/3,41.0,0
70,0.25,124/3,0
70,0.25,124/3,0
69,0.25,124/3,0
65,0.25,41.5,0
53,0.25,41.5,0
57,0.25,41.5,0
68,0.25,41.5,0
r,5/12,499/12,0
69,0.25,41.75,0
72,0.25,41.75,0
65,0.25,42.0,0
r,0.75,42.0,0
r,1.5,42.0,0
r,0.25,42.25,0
77,0.5,42.5,0
48,0.5,42.5,0
45,0.5,42.5,0
77,0.25,42.75,0
76,2/3,43.0,0
46,2/3,43.0,0
67,1.0,43.0,0
48,1.0,43.0,0
79,0.5,43.5,0
40,0.5,43.5,0
r,1/3,131/3,0
70,0.5,44.0,0
64,0.5,44.0,0
36,0.5,44.0,0
43,0.5,44.0,0
r,1/3,44.0,0
r,1.0,44.0,0
70,0.25,133/3,0
69,0.5,44.5,0
65,0.5,44.5,0
41,0.5,44.5,0
38,0.5,44.5,0
r,5/12,535/12,0
46,0.5,45.0,0
34,0.5,45.0,0
58,0.5,45.5,0
62,0.5,45.5,0
67,0.5,45.5,0
r,0.5,46.0,0
48,0.5,46.5,0
36,0.5,46.5,0
58,0.5,47.0,0
55,0.5,47.0,0
64,0.5,47.0,0
r,0.5,47.5,0
29,4/3,48.0,0
41,4/3,48.0,0
r,0.5,48.0,0
r,0.75,48.0,0
48,1/3,48.5,0
48,0.25,48.75,0
r,1/6,293/6,0
57,0.5,49.0,0
r,1.5,49.0,0
r,1/6,148/3,0
41,1.25,49.5,0
29,1.25,49.5,0
r,0.5,49.5,0
57,1/3,50.0,0
57,0.25,151/3,0
63,0.25,50.5,0
45,0.25,50.5,0
r,5/12,607/12,0
48,0.25,50.75,0
45,0.25,50.75,0
r,0.25,50.75,0
64,0.25,51.0,0
40,0.25,51.0,0
r,1.5,51.0,0
r,0.25,51.25,0
64,0.5,51.5,0
56,0.5,51.5,0
59,0.5,51.5,0
52,0.5,51.5,0
40,0.5,51.5,0
56,0.5,52.0,0
64,0.5,52.0,0
59,0.5,52.0,0
52,0.5,52.0,0
40,0.5,52.0,0
64,0.5,52.5,0
59,0.5,52.5,0
56,0.5,52.5,0
52,0.75,52.5,0
40,0.75,52.5,0
55,0.5,53.0,0
r,0.75,53.25,0
55,0.5,53.5,0
52,1.5,54.0,0
55,1.5,54.0,0
40,1.5,54.0,0
r,0.5,54.0,0
r,0.75,54.0,0
r,2.5,54.0,0
59,1/3,54.5,0
59,0.25,54.75,0
r,1/6,329/6,0
67,0.5,55.0,0
r,1.5,55.0,0
52,1.25,55.5,0
40,1.25,55.5,0
r,0.5,55.5,0
61,1/3,56.0,0
61,0.25,169/3,0
70,2/3,56.5,0
52,0.25,56.5,0
55,0.25,56.5,0
r,5/12,679/12,0
52,0.25,56.75,0
r,0.25,56.75,0
51,0.5,57.0,0
71,0.5,57.0,0
51,0.5,57.0,0
71,0.25,57.5,0
66,0.25,57.5,0
59,0.25,57.5,0
51,0.25,57.5,0
47,0.25,57.5,0
39,0.25,57.5,0
r,0.25,57.75,0
71,0.25,58.0,0
66,0.25,58.0,0
59,0.25,58.0,0
51,0.25,58.0,0
47,0.25,58.0,0
39,0.25,58.0,0
r,0.25,58.25,0
66,0.25,58.5,0
71,0.25,58.5,0
59,0.25,58.5,0
47,0.25,58.5,0
51,0.25,58.5,0
39,0.25,58.5,0
r,0.25,58.75,0
53,0.5,59.0,0
50,0.5,59.0,0
50,0.5,59.5,0
53,0.5,59.5,0
53,0.5,60.0,0
50,4/3,60.0,0
r,0.75,60.0,0
r,2.75,60.0,0
65,1/3,60.5,0
65,0.25,60.75,0
r,1/6,365/6,0
71,1.0,61.0,0
53,0.25,61.0,0
56,0.25,61.0,0
r,0.25,61.25,0
53,0.25,184/3,0
49,4/3,61.5,0
r,11/12,739/12,0
71,1/3,62.0,0
71,0.25,187/3,0
77,1.0,62.5,0
r,1/12,751/12,0
