85,1.0,135.0
r,1.5,136.0
r,0.5,137.5
89,1.0,138.0
r,2.0,139.0
r,1.0,141.0
r,1.0,142.0
r,0.5,143.0
77,0.5,143.5
82,1.5,144.0
81,0.25,145.5
82,0.25,145.75
84,0.25,146.0
r,0.25,146.25
82,0.25,146.5
r,0.25,146.75
77,1.5,147.0
79,0.25,148.5
77,0.25,148.75
75,0.25,149.0
r,0.25,149.25
74,0.25,149.5
r,0.25,149.75
78,0.25,150.0
79,0.25,150.25
r,0.5,150.5
78,0.25,151.0
79,0.25,151.25
r,0.5,151.5
74,0.25,152.0
75,0.25,152.25
r,0.25,152.5
r,0.25,152.75
71,0.25,153.0
72,0.25,153.25
r,2.0,153.5
84,0.5,155.5
87,1.5,156.0
89,0.25,157.5
87,0.25,157.75
86,0.25,158.0
r,0.25,158.25
84,0.25,158.5
r,0.25,158.75
82,0.25,159.0
r,0.25,159.25
81,0.25,159.5
r,0.25,159.75
79,0.25,160.0
r,0.25,160.25
77,0.25,160.5
r,0.25,160.75
75,0.25,161.0
r,0.25,161.25
72,0.25,161.5
r,0.25,161.75
70,0.25,162.0
r,0.25,162.25
74,0.25,162.5
r,0.25,162.75
67,0.25,163.0
r,0.25,163.25
75,0.25,163.5
r,0.25,163.75
69,0.25,164.0
r,0.25,164.25
72,0.25,164.5
r,0.25,164.75
70,0.25,165.0
r,2.5,165.0
62,0.25,165.25
65,0.25,165.5
63,0.25,165.75
62,0.25,166.0
63,0.25,166.25
65,0.25,166.5
67,0.25,166.5
69,0.25,166.75
70,0.25,166.75
69,0.25,167.0
72,0.25,167.0
70,0.25,167.0
r,1/12,167.25
74,0.25,502/3
72,0.25,502/3
70,0.25,502/3
69,0.25,167.5
67,0.25,167.5
65,0.25,167.5
r,1/6,2011/12
67,0.25,167.75
63,0.25,167.75
r,0.25,167.75
62,0.25,168.0
65,0.25,168.25
63,0.25,168.5
62,0.25,168.75
63,0.25,169.0
65,0.25,169.25
67,0.25,169.5
69,0.25,169.75
70,0.25,170.0
69,0.25,170.25
67,0.25,170.5
65,0.25,170.75
67,0.25,171.0
69,0.25,171.25
70,0.25,171.5
72,0.25,171.75
74,0.25,172.0
72,0.25,172.25
70,0.25,172.5
69,0.25,172.75
70,0.25,173.0
72,0.25,173.25
74,0.25,173.5
75,0.25,173.75
77,0.25,174.0
75,0.25,174.25
74,0.25,174.5
72,0.25,174.75
77,1/3,175.0
75,1/3,526/3
74,1/3,527/3
75,0.25,176.0
77,0.25,176.25
79,0.25,176.5
81,0.25,176.75
82,1.5,177.0
81,0.25,178.5
82,0.25,178.75
81,0.25,179.0
82,0.25,179.25
84,0.25,179.5
82,0.25,179.75
77,1.5,180.0
76,0.25,181.5
77,0.25,181.75
79,0.25,182.0
77,0.25,182.25
75,0.25,182.5
74,0.25,182.75
78,0.25,183.0
79,0.25,183.25
78,0.25,183.5
79,0.25,183.75
78,0.25,184.0
79,0.25,184.25
78,0.25,184.5
79,0.25,184.75
74,0.25,185.0
75,0.25,185.25
74,0.25,185.5
75,0.25,185.75
71,0.25,186.0
72,0.25,186.25
71,0.25,186.5
72,0.25,186.75
r,1.5,187.0
84,0.5,188.5
87,1.5,189.0
86,0.25,190.5
87,0.25,190.75
89,0.25,191.0
87,0.25,191.25
86,0.25,191.5
84,0.25,191.75
82,0.25,192.0
81,0.25,192.25
86,0.25,192.5
84,0.25,192.75
82,0.25,193.0
81,0.25,193.25
79,0.25,193.5
77,0.25,193.75
75,0.25,194.0
74,0.25,194.25
75,0.25,194.5
72,0.5,194.75
70,0.25,195.25
74,0.75,195.5
67,0.25,196.25
75,0.75,196.5
69,0.25,197.25
72,0.5,197.5
70,0.5,198.0
r,0.25,198.0
50,0.25,198.25
51,0.25,198.5
r,2.5,198.5
53,0.25,198.75
55,0.25,199.0
57,0.25,199.25
58,0.25,199.5
60,0.25,199.75
62,0.25,200.0
63,0.25,200.25
65,0.25,200.5
67,0.25,200.75
65,2.0,201.0
63,0.25,203.0
65,0.25,203.0
r,1/12,203.25
63,0.25,610/3
62,0.25,610/3
r,1/6,2443/12
63,0.25,203.75
62,0.25,204.0
62,0.25,204.25
63,0.25,204.5
65,0.25,204.75
67,0.25,205.0
69,0.25,205.25
70,0.25,205.5
72,0.25,205.75
74,0.25,206.0
75,0.25,206.25
77,0.25,206.5
79,0.25,206.75
77,2.0,207.0
75,0.25,209.0
77,0.25,209.0
r,1/12,209.25
75,0.25,628/3
74,0.25,628/3
r,1/6,2515/12
75,0.25,209.75
74,0.75,210.0
r,0.25,210.75
72,0.25,211.0
74,0.25,211.0
r,1/12,211.25
72,0.25,634/3
71,0.25,634/3
r,1/6,2539/12
72,0.25,211.75
70,0.75,212.0
r,0.25,212.75
69,0.25,213.0
70,0.25,213.0
r,1/12,213.25
69,0.25,640/3
67,0.25,640/3
r,1/6,2563/12
69,0.25,213.75
67,0.75,214.0
r,0.25,214.75
65,0.25,215.0
67,0.25,215.0
r,1/12,215.25
65,0.25,646/3
64,0.25,646/3
r,1/6,2587/12
65,0.25,215.75
64,0.75,216.0
r,0.25,216.75
63,0.25,217.0
65,0.25,217.0
r,1/12,217.25
63,0.25,652/3
62,0.25,652/3
r,1/6,2611/12
63,0.25,217.75
62,0.75,218.0
r,0.25,218.75
63,0.25,219.0
65,0.25,219.0
r,1/12,219.25
63,0.25,658/3
62,0.25,658/3
r,1/6,2635/12
63,0.25,219.75
62,0.75,220.0
r,0.25,220.75
63,0.25,221.0
65,0.25,221.0
r,1/12,221.25
63,0.25,664/3
62,0.25,664/3
r,1/6,2659/12
63,0.25,221.75
62,0.25,222.0
r,0.75,222.25
62,0.25,223.0
r,0.25,223.25
65,0.25,223.5
r,0.25,223.75
70,0.25,224.0
r,0.25,224.25
74,0.25,224.5
r,0.25,224.75
65,0.25,225.0
r,0.25,225.25
70,0.25,225.5
r,0.25,225.75
74,0.25,226.0
r,0.25,226.25
77,0.25,226.5
r,0.25,226.75
70,0.25,227.0
r,0.25,227.25
74,0.25,227.5
r,0.25,227.75
77,0.25,228.0
r,0.25,228.25
82,0.25,228.5
r,0.25,228.75
74,0.25,229.0
r,0.25,229.25
77,0.25,229.5
r,0.25,229.75
82,0.25,230.0
r,0.25,230.25
86,0.25,230.5
r,0.25,230.75
89,0.25,231.0
r,0.25,231.25
77,0.25,231.5
r,0.25,231.75
82,0.25,232.0
r,0.25,232.25
86,0.25,232.5
r,0.25,232.75
89,0.25,233.0
r,0.25,233.25
65,0.25,233.5
r,0.25,233.75
70,0.25,234.0
r,0.25,234.25
74,0.25,234.5
r,0.25,234.75
77,0.25,235.0
r,0.25,235.25
53,0.25,235.5
r,0.25,235.75
58,0.25,236.0
r,0.25,236.25
62,0.25,236.5
r,0.25,236.75
65,0.25,237.0
r,0.25,237.25
70,0.25,237.5
r,0.25,237.75
74,0.25,238.0
r,0.25,238.25
77,0.25,238.5
r,0.25,238.75
75,0.25,239.0
r,0.25,239.25
74,0.25,239.5
r,0.25,239.75
r,3.0,240.0
r,3.0,243.0
r,3.0,246.0
r,1.75,249.0
r,0.25,250.75
77,0.25,251.0
r,0.25,251.25
77,0.25,251.5
r,0.25,251.75
70,0.25,252.0
r,0.25,252.25
70,0.5,252.5
71,0.5,253.0
72,0.5,253.5
73,0.5,254.0
74,0.5,254.5
75,3.0,255.0
67,3.0,258.0
70,0.5,261.0
r,0.75,261.0
69,1/3,261.5
70,0.25,261.75
r,1/6,1571/6
69,0.5,262.0
r,2.0,262.0
67,0.5,262.5
69,0.5,263.0
72,0.5,263.5
70,0.5,264.0
70,0.5,264.5
71,0.5,265.0
72,0.5,265.5
73,0.5,266.0
74,0.5,266.5
75,3.0,267.0
67,2.0,270.0
68,0.5,272.0
70,0.5,272.5
72,0.75,273.0
65,0.25,273.75
65,0.75,274.0
r,0.25,274.75
r,1.0,275.0
72,0.75,276.0
65,0.25,276.75
65,0.75,277.0
r,0.25,277.75
r,1.0,278.0
65,2/3,279.0
r,1/3,839/3
65,2/3,280.0
r,1/3,842/3
65,2/3,281.0
r,1/3,845/3
66,2.75,282.0
r,0.25,284.75
66,2/3,285.0
r,1/3,857/3
66,2/3,286.0
r,1/3,860/3
66,2/3,287.0
r,1/3,863/3
67,5.75,288.0
r,0.25,293.75
67,0.5,294.0
65,0.5,294.5
65,0.25,295.0
67,0.25,295.25
65,0.25,295.5
64,0.25,295.75
65,0.25,296.0
r,0.25,296.25
67,0.25,296.5
r,0.25,296.75
63,0.25,297.0
65,0.25,297.25
63,0.25,297.5
62,0.25,297.75
63,1/3,298.0
65,1/3,895/3
67,0.25,896/3
r,1/12,3587/12
68,1/3,299.0
70,1/3,898/3
72,0.25,899/3
r,1/12,3599/12
74,1/3,300.0
75,1/3,901/3
77,0.25,902/3
r,1/12,3611/12
78,1/3,301.0
79,1/3,904/3
80,0.25,905/3
r,1/12,3623/12
81,1/3,302.0
82,1/3,907/3
83,0.25,908/3
r,1/12,3635/12
84,0.75,303.0
77,0.25,303.75
77,0.75,304.0
r,0.25,304.75
r,0.75,305.0
71,0.25,305.75
72,0.75,306.0
65,0.25,306.75
65,0.75,307.0
r,0.25,307.75
r,1.0,308.0
53,2/3,309.0
r,1/3,929/3
53,2/3,310.0
r,1/3,932/3
53,2/3,311.0
r,1/3,935/3
54,2.75,312.0
r,0.25,314.75
78,2/3,315.0
r,1/3,947/3
78,2/3,316.0
r,1/3,950/3
78,2/3,317.0
r,1/3,953/3
79,5.75,318.0
r,0.25,323.75
67,0.5,324.0
65,0.5,324.5
65,0.25,325.0
67,0.25,325.25
65,0.25,325.5
64,0.25,325.75
65,0.5,326.0
67,0.5,326.5
63,1.0,327.0
r,1.5,328.0
r,0.25,329.5
86,0.25,329.75
87,0.75,330.0
80,0.25,330.75
80,0.75,331.0
r,0.25,331.75
r,0.75,332.0
74,0.25,332.75
75,0.75,333.0
67,0.25,333.75
67,0.75,334.0
r,0.25,334.75
r,1.0,335.0
75,0.75,336.0
r,0.25,336.75
75,0.75,337.0
r,0.25,337.75
74,0.75,338.0
r,0.25,338.75
75,1.0,339.0
r,1.0,340.0
r,1.0,341.0
87,0.25,342.0
89,0.25,342.0
r,1/12,342.25
87,0.25,1027/3
86,0.25,1027/3
r,1/6,4111/12
87,0.25,342.75
80,0.5,343.0
r,0.5,343.5
r,1.0,344.0
75,0.25,345.0
77,0.25,345.0
r,1/12,345.25
75,0.25,1036/3
74,0.25,1036/3
r,1/6,4147/12
75,0.25,345.75
67,0.5,346.0
r,0.5,346.5
r,1.0,347.0
75,0.75,348.0
r,0.25,348.75
75,0.75,349.0
r,0.25,349.75
74,0.75,350.0
r,0.25,350.75
63,0.25,351.0
65,0.25,351.25
63,0.25,351.5
62,0.25,351.75
63,0.25,352.0
65,0.25,352.25
67,0.25,352.5
68,0.25,352.75
70,0.25,353.0
r,0.25,353.25
67,0.25,353.5
r,0.25,353.75
65,0.25,354.0
r,0.25,354.25
68,0.25,354.5
r,0.25,354.75
62,0.25,355.0
r,0.25,355.25
65,0.25,355.5
r,0.25,355.75
58,0.25,356.0
r,0.25,356.25
62,0.25,356.5
r,0.25,356.75
63,0.25,357.0
65,0.25,357.25
63,0.25,357.5
62,0.25,357.75
63,0.25,358.0
65,0.25,358.25
67,0.25,358.5
68,0.25,358.75
72,0.25,359.0
70,0.25,359.25
68,0.25,359.5
67,0.25,359.75
65,0.25,360.0
r,0.25,360.25
68,0.25,360.5
r,0.25,360.75
62,0.25,361.0
r,0.25,361.25
65,0.25,361.5
r,0.25,361.75
58,0.25,362.0
r,0.25,362.25
62,0.25,362.5
r,0.25,362.75
63,0.25,363.0
r,0.25,363.25
67,0.25,363.5
r,0.25,363.75
60,0.25,364.0
r,0.25,364.25
63,0.25,364.5
r,0.25,364.75
57,0.25,365.0
r,0.25,365.25
60,0.25,365.5
r,0.25,365.75
53,0.25,366.0
r,0.25,366.25
57,0.25,366.5
r,0.25,366.75
60,0.25,367.0
r,0.25,367.25
63,0.25,367.5
r,0.25,367.75
65,0.25,368.0
r,0.25,368.25
57,0.25,368.5
r,0.25,368.75
58,0.25,369.0
r,0.25,369.25
62,0.25,369.5
r,0.25,369.75
65,0.25,370.0
r,0.25,370.25
69,0.25,370.5
r,0.25,370.75
70,0.25,371.0
r,0.25,371.25
69,0.5,371.5
70,0.25,372.0
r,0.25,372.25
69,0.5,372.5
70,0.25,373.0
r,0.25,373.25
69,0.5,373.5
70,0.25,374.0
r,0.25,374.25
70,0.5,374.5
71,0.75,375.0
65,0.25,375.75
65,0.75,376.0
r,0.25,376.75
r,1.0,377.0
71,0.75,378.0
65,0.25,378.75
65,0.75,379.0
r,0.25,379.75
r,1.0,380.0
65,2/3,381.0
r,1/3,1145/3
65,2/3,382.0
r,1/3,1148/3
66,2/3,383.0
r,1/3,1151/3
68,2.75,384.0
r,0.25,386.75
77,2/3,387.0
r,1/3,1163/3
77,2/3,388.0
r,1/3,1166/3
78,2/3,389.0
r,1/3,1169/3
80,2.75,390.0
r,0.25,392.75
67,2/3,393.0
r,1/3,1181/3
67,2/3,394.0
r,1/3,1184/3
68,2/3,395.0
r,1/3,1187/3
70,2.75,396.0
r,0.25,398.75
79,2/3,399.0
r,1/3,1199/3
79,2/3,400.0
r,1/3,1202/3
80,2/3,401.0
r,1/3,1205/3
82,2.75,402.0
r,0.25,404.75
85,1.0,405.0
r,1.5,406.0
r,0.5,407.5
89,1.0,408.0
r,2.0,409.0
r,1.0,411.0
r,1.0,412.0
r,0.5,413.0
77,0.5,413.5
82,1.5,414.0
81,0.25,415.5
82,0.25,415.75
84,0.25,416.0
r,0.25,416.25
82,0.25,416.5
r,0.25,416.75
77,1.5,417.0
79,0.25,418.5
77,0.25,418.75
75,0.25,419.0
r,0.25,419.25
74,0.25,419.5
r,0.25,419.75
78,0.25,420.0
79,0.25,420.25
r,0.5,420.5
78,0.25,421.0
79,0.25,421.25
r,0.5,421.5
74,0.25,422.0
75,0.25,422.25
r,0.25,422.5
r,0.25,422.75
71,0.25,423.0
72,0.25,423.25
r,2.0,423.5
84,0.5,425.5
87,1.5,426.0
89,0.25,427.5
87,0.25,427.75
86,0.25,428.0
r,0.25,428.25
84,0.25,428.5
r,0.25,428.75
82,0.25,429.0
r,0.25,429.25
81,0.25,429.5
r,0.25,429.75
79,0.25,430.0
r,0.25,430.25
77,0.25,430.5
r,0.25,430.75
75,0.25,431.0
r,0.25,431.25
72,0.25,431.5
r,0.25,431.75
70,0.25,432.0
r,0.25,432.25
74,0.25,432.5
r,0.25,432.75
67,0.25,433.0
r,0.25,433.25
75,0.25,433.5
r,0.25,433.75
69,0.25,434.0
r,0.25,434.25
72,0.25,434.5
r,0.25,434.75
70,0.25,435.0
r,2.5,435.0
62,0.25,435.25
65,0.25,435.5
63,0.25,435.75
62,0.25,436.0
63,0.25,436.25
65,0.25,436.5
67,0.25,436.5
69,0.25,436.75
70,0.25,436.75
69,0.25,437.0
72,0.25,437.0
70,0.25,437.0
r,1/12,437.25
