75,1.0,71.0,0
77,1.0,72.0,0
78,1.0,73.0,0
77,1.0,74.0,0
78,1.0,75.0,0
80,1.0,76.0,0
82,1.0,77.0,0
83,1.0,78.0,0
80,1.0,79.0,0
82,1.0,80.0,0
83,1.0,81.0,0
85,1.0,82.0,0
87,1.0,83.0,0
88,1.0,84.0,0
85,1.0,85.0,0
87,1.0,86.0,0
88,1.0,87.0,0
90,1.0,88.0,0
87,1.0,89.0,0
88,1.0,90.0,0
90,1.0,91.0,0
92,1.0,92.0,0
93,1.0,93.0,0
94,1.0,94.0,0
95,1.0,95.0,0
95,1.0,96.0,0
95,1.0,97.0,0
95,1.0,98.0,0
95,1.0,99.0,0
95,1.0,100.0,0
95,1.0,101.0,0
95,1.0,102.0,0
95,1.0,103.0,0
95,1.0,104.0,0
95,1.0,105.0,0
95,1.0,106.0,0
95,1.0,107.0,0
92,0.25,108.0,0
95,0.75,108.25,0
95,0.25,109.0,0
90,0.75,109.25,0
88,0.25,110.0,0
92,0.75,110.25,0
92,0.25,111.0,0
87,0.75,111.25,0
85,0.25,112.0,0
88,0.75,112.25,0
88,0.25,113.0,0
83,0.75,113.25,0
87,1.0,114.0,0
90,1.0,114.0,0
88,1.0,115.0,0
92,1.0,115.0,0
r,0.5,116.0,0
68,0.25,116.5,0
71,0.25,116.75,0
r,0.5,117.0,0
71,0.25,117.5,0
78,0.25,117.75,0
r,0.5,118.0,0
76,0.25,118.5,0
78,0.25,118.5,0
82,0.25,118.75,0
r,0.5,119.0,0
82,0.25,119.5,0
83,0.25,119.75,0
85,0.25,120.0,0
88,0.75,120.25,0
88,0.25,121.0,0
83,0.75,121.25,0
71,0.25,122.0,0
81,0.75,122.25,0
80,0.25,123.0,0
76,0.75,123.25,0
73,0.25,124.0,0
76,0.75,124.25,0
68,0.25,125.0,0
76,0.75,125.25,0
66,0.25,126.0,0
75,0.75,126.25,0
74,0.25,127.0,0
77,0.25,127.25,0
80,0.25,127.5,0
80,1.25,127.75,0
83,1.25,127.75,0
86,1.5,128.0,0
85,0.25,129.5,0
83,0.25,129.75,0
78,0.25,130.0,0
81,0.25,130.0,0
77,0.25,130.25,0
80,0.25,130.25,0
78,0.25,130.5,0
81,0.25,130.5,0
80,0.25,130.75,0
83,0.25,130.75,0
84,0.5,131.0,0
85,1.0,131.5,0
83,0.25,132.5,0
81,0.25,132.75,0
80,0.25,133.0,0
78,0.25,133.25,0
80,0.25,133.5,0
81,0.25,133.75,0
83,0.25,134.0,0
76,0.25,134.25,0
83,0.25,134.5,0
81,0.25,134.75,0
80,1.0,135.0,0
78,0.25,136.0,0
80,0.25,136.0,0
78,0.25,136.0,0
77,0.25,136.0,0
78,0.25,136.0,0
80,0.25,136.25,0
81,0.25,136.25,0
83,0.25,136.25,0
85,0.25,136.25,0
83,0.5,136.5,0
86,0.5,136.5,0
83,0.25,137.0,0
87,0.25,137.0,0
83,0.25,137.0,0
80,0.25,137.25,0
78,0.25,137.25,0
75,0.25,137.5,0
71,0.25,137.5,0
68,0.25,137.75,0
66,0.25,137.75,0
r,1.0,138.0,0
68,0.25,139.0,0
71,0.25,139.0,0
75,0.25,139.0,0
78,0.25,139.0,0
75,0.25,139.25,0
78,0.25,139.25,0
80,0.25,139.25,0
83,0.25,139.25,0
87,0.25,139.5,0
85,0.25,139.75,0
85,0.25,140.0,0
80,0.25,140.0,0
76,0.25,140.0,0
73,0.25,140.25,0
68,0.25,140.25,0
64,0.25,140.25,0
r,0.75,140.5,0
