r,11/12,208/3
79,1.0,70.25
67,1.0,70.25
47,1.25,70.25
50,1.25,70.25
55,1.25,70.25
r,0.75,71.25
r,0.5,71.5
r,0.25,72.0
r,1/3,72.0
59,1/3,72.25
67,0.75,217/3
r,2/3,871/12
r,7/6,877/12
62,1/3,73.25
71,1/3,73.25
r,5/12,883/12
67,1/3,74.0
74,0.75,74.25
r,2/3,223/3
71,0.25,75.0
47,0.25,75.0
79,0.25,75.0
55,0.25,75.0
67,0.25,75.0
50,0.25,75.0
r,1.0,75.25
79,1.0,76.25
67,1.0,76.25
48,1.0,76.25
51,1.0,76.25
55,1.0,76.25
r,0.75,77.25
r,0.25,78.0
r,0.25,78.0
63,0.25,78.25
67,1.0,78.25
r,0.75,78.5
63,0.25,79.25
r,1/12,79.25
72,1/3,238/3
r,0.5,79.5
r,4/3,239/3
67,1/3,80.0
75,0.75,241/3
72,0.25,81.0
51,0.25,81.0
60,0.25,81.0
55,0.25,81.0
r,1.0,81.0
79,1.0,81.25
75,0.25,82.0
53,0.25,82.0
56,0.25,82.0
62,0.25,82.25
74,0.25,82.25
r,1.75,82.25
r,5/6,82.5
89,0.25,250/3
r,5/12,1003/12
r,1.25,84.0
71,0.25,85.25
59,0.25,85.25
55,0.25,85.25
62,0.25,85.25
r,0.75,85.5
86,0.25,86.25
r,0.5,86.5
r,1.25,87.0
72,1/3,88.25
48,1/3,88.25
60,1/3,88.25
51,1/3,88.25
55,1/3,88.25
r,0.75,1063/12
84,0.25,268/3
r,5/12,1075/12
r,3.0,90.0
r,3.0,93.0
r,1.25,96.0
63,1.75,97.25
63,3.0,99.0
r,2.25,99.0
61,7.5,100.25
r,1/3,102.0
r,1.5,102.0
r,1.5,102.0
61,19/12,102.0
67,2.0,102.0
75,0.5,307/3
r,2/3,617/6
75,1.0,103.5
60,4.5,103.5
r,0.5,104.5
r,0.5,107.0
r,1.5,107.0
r,5/3,107.0
r,1.75,107.0
68,2.0,107.0
75,5/3,107.5
58,1.5,108.5
67,4/3,326/3
