56,1/3,0.0,0
61,1/3,1/3,0
64,1/3,2/3,0
56,1/3,1.0,0
61,1/3,4/3,0
64,1/3,5/3,0
56,1/3,2.0,0
61,1/3,7/3,0
64,1/3,8/3,0
56,1/3,3.0,0
61,1/3,10/3,0
64,1/3,11/3,0
56,1/3,4.0,0
61,1/3,13/3,0
64,1/3,14/3,0
56,1/3,5.0,0
61,1/3,16/3,0
64,1/3,17/3,0
56,1/3,6.0,0
61,1/3,19/3,0
64,1/3,20/3,0
56,1/3,7.0,0
61,1/3,22/3,0
64,1/3,23/3,0
57,1/3,8.0,0
61,1/3,25/3,0
64,1/3,26/3,0
57,1/3,9.0,0
61,1/3,28/3,0
64,1/3,29/3,0
57,1/3,10.0,0
62,1/3,31/3,0
66,1/3,32/3,0
57,1/3,11.0,0
62,1/3,34/3,0
66,1/3,35/3,0
56,1/3,12.0,0
60,1/3,37/3,0
66,1/3,38/3,0
56,1/3,13.0,0
61,1/3,40/3,0
64,1/3,41/3,0
56,1/3,14.0,0
61,1/3,43/3,0
63,1/3,44/3,0
54,1/3,15.0,0
60,1/3,46/3,0
63,1/3,47/3,0
52,1/3,16.0,0
r,3.0,16.0,0
56,1/3,49/3,0
61,1/3,50/3,0
56,1/3,17.0,0
61,1/3,52/3,0
64,1/3,53/3,0
56,1/3,18.0,0
61,1/3,55/3,0
64,1/3,56/3,0
56,1/3,19.0,0
68,0.75,19.0,0
61,1/3,58/3,0
64,0.25,59/3,0
68,0.25,59/3,0
r,0.25,19.75,0
r,1/12,239/12,0
56,1/3,20.0,0
68,2.75,20.0,0
63,1/3,61/3,0
66,1/3,62/3,0
56,1/3,21.0,0
63,1/3,64/3,0
66,1/3,65/3,0
56,1/3,22.0,0
63,1/3,67/3,0
66,1/3,68/3,0
r,0.25,22.75,0
56,1/3,23.0,0
68,0.75,23.0,0
63,1/3,70/3,0
66,0.25,71/3,0
68,0.25,71/3,0
r,0.25,23.75,0
r,1/12,287/12,0
56,1/3,24.0,0
68,2.0,24.0,0
61,1/3,73/3,0
64,1/3,74/3,0
56,1/3,25.0,0
61,1/3,76/3,0
64,1/3,77/3,0
57,1/3,26.0,0
69,2.0,26.0,0
61,1/3,79/3,0
66,1/3,80/3,0
57,1/3,27.0,0
61,1/3,82/3,0
66,1/3,83/3,0
56,1/3,28.0,0
68,2.0,28.0,0
59,1/3,85/3,0
64,1/3,86/3,0
56,1/3,29.0,0
59,1/3,88/3,0
64,1/3,89/3,0
57,1/3,30.0,0
66,1.0,30.0,0
59,1/3,91/3,0
63,1/3,92/3,0
57,1/3,31.0,0
71,1.0,31.0,0
59,1/3,94/3,0
63,1/3,95/3,0
56,1/3,32.0,0
64,2/3,32.0,0
59,1/3,97/3,0
64,1/3,98/3,0
r,10/3,98/3,0
56,1/3,33.0,0
59,1/3,100/3,0
