r,3.0,0.0
72,1.5,3.0
68,0.5,4.5
68,0.75,5.0
68,0.25,5.75
73,1.0,6.0
70,1.75,7.0
r,0.25,8.75
75,1.5,9.0
73,0.5,10.5
75,0.5,11.0
77,0.5,11.5
75,0.75,12.0
74,0.25,12.75
73,0.25,13.0
75,0.25,13.0
73,0.25,13.0
75,0.25,13.25
73,0.25,13.25
75,0.25,13.25
73,0.25,13.5
75,0.25,13.5
73,0.25,13.5
75,0.25,13.75
73,0.25,13.75
75,0.25,13.75
73,0.25,14.0
75,0.25,14.0
73,0.25,14.0
75,0.25,14.25
73,0.25,14.25
75,0.25,14.25
73,0.25,14.5
75,0.25,14.5
73,0.25,14.5
75,0.25,14.75
73,0.25,14.75
75,0.25,14.75
73,0.25,15.0
75,0.25,15.0
73,0.25,15.0
r,2/3,15.0
72,0.25,15.25
73,0.25,15.25
75,0.25,15.5
77,4/3,47/3
r,1.25,15.75
75,0.5,17.0
r,1.0,17.0
73,0.5,17.5
72,1.5,18.0
75,1.0,19.5
80,0.5,20.5
80,1.0,21.0
79,2.0,22.0
82,1.5,24.0
79,1.0,25.5
75,0.5,26.5
75,1.0,27.0
80,2.0,28.0
80,1.5,30.0
84,1.0,31.5
87,0.5,32.5
87,1.5,33.0
85,0.5,34.5
87,0.5,35.0
89,0.5,35.5
89,0.5,36.0
87,1.0,36.5
85,0.25,37.5
84,0.25,37.75
87,0.25,38.0
85,0.25,38.25
79,0.5,38.5
80,0.25,39.0
r,0.25,39.25
92,0.25,39.5
r,0.25,39.75
80,0.25,40.0
r,0.25,40.25
68,0.25,40.5
r,0.25,40.75
56,0.25,41.0
r,0.25,41.25
44,0.25,41.5
r,0.25,41.75
43,0.25,42.0
r,0.25,42.25
55,0.25,42.5
r,0.25,42.75
55,0.25,43.0
r,0.25,43.25
67,0.25,43.5
r,0.25,43.75
67,0.25,44.0
r,0.25,44.25
79,0.25,44.5
r,0.25,44.75
80,0.25,45.0
r,0.25,45.25
92,0.25,45.5
r,0.25,45.75
80,0.25,46.0
r,0.25,46.25
68,0.25,46.5
r,0.25,46.75
56,0.25,47.0
r,0.25,47.25
44,0.25,47.5
r,0.25,47.75
46,0.25,48.0
r,0.25,48.25
58,0.25,48.5
r,0.25,48.75
58,0.25,49.0
r,0.25,49.25
70,0.25,49.5
r,0.25,49.75
70,0.25,50.0
r,0.25,50.25
82,0.25,50.5
r,0.25,50.75
72,0.25,51.0
r,0.25,51.25
84,0.25,51.5
r,0.25,51.75
72,0.25,52.0
r,0.25,52.25
60,0.25,52.5
r,0.25,52.75
48,0.25,53.0
r,0.25,53.25
60,0.25,53.5
r,0.25,53.75
50,0.25,54.0
r,0.25,54.25
62,0.25,54.5
r,0.25,54.75
62,0.25,55.0
r,0.25,55.25
74,0.25,55.5
r,0.25,55.75
75,0.25,56.0
r,0.25,56.25
87,0.25,56.5
r,0.25,56.75
77,0.25,57.0
r,0.25,57.25
89,0.25,57.5
r,0.25,57.75
77,0.25,58.0
r,0.25,58.25
89,0.25,58.5
r,0.25,58.75
79,0.25,59.0
r,0.25,59.25
91,0.25,59.5
r,0.25,59.75
80,0.25,60.0
r,0.25,60.25
81,0.25,60.5
r,0.25,60.75
81,0.25,61.0
r,0.25,61.25
82,0.25,61.5
r,0.25,61.75
82,0.25,62.0
r,1/12,62.25
r,1/6,187/3
83,0.25,62.5
r,0.25,62.75
96,1.0,63.0
r,0.75,63.0
84,0.25,63.75
94,1.0,64.0
r,0.75,64.0
82,0.25,64.75
92,0.75,65.0
r,1.0,65.0
93,0.25,65.75
94,1.0,66.0
r,0.75,66.0
82,0.25,66.75
92,1.0,67.0
r,0.75,67.0
82,0.25,67.75
91,0.25,68.0
r,1.0,68.0
79,0.25,68.25
80,0.25,68.5
82,0.25,68.75
86,0.25,69.0
r,0.75,69.0
84,0.75,69.25
72,0.25,69.75
84,0.25,70.0
r,0.75,70.0
82,0.75,70.25
70,0.25,70.75
82,0.25,71.0
r,1.0,71.0
80,0.5,71.25
81,0.25,71.75
84,0.25,72.0
r,0.75,72.0
82,0.75,72.25
70,0.25,72.75
82,0.25,73.0
r,0.75,73.0
80,0.75,73.25
68,0.25,73.75
79,0.25,74.0
r,1.0,74.0
77,0.25,74.25
79,0.25,74.5
77,0.25,74.75
79,1.0,75.0
77,0.75,76.0
r,0.25,76.75
82,0.25,77.0
81,0.25,77.25
82,0.25,77.5
81,0.25,77.75
82,0.75,78.0
r,2.5,78.0
69,0.25,78.75
75,0.25,78.75
84,4/3,79.0
69,0.25,241/3
77,0.25,241/3
84,0.5,80.5
r,5/12,967/12
r,1/3,81.0
r,0.5,81.0
70,0.25,244/3
77,0.25,244/3
86,0.5,81.5
r,11/12,979/12
r,0.5,82.0
72,0.25,82.5
77,0.25,82.5
87,0.5,82.5
r,7/12,82.75
r,0.5,83.0
74,0.25,250/3
77,0.25,250/3
89,1.0,83.5
r,5/12,1003/12
91,0.5,84.5
92,0.5,85.0
93,0.5,85.5
94,1.25,86.0
r,0.25,87.25
67,1/3,87.5
r,11/12,527/6
67,0.25,88.75
68,0.25,89.0
70,0.25,89.25
72,0.25,89.5
74,0.25,89.75
75,0.25,90.0
r,0.25,90.25
70,0.25,90.5
r,1.0,90.75
74,0.25,91.75
75,0.25,92.0
77,0.25,92.25
79,0.25,92.5
80,0.25,92.75
82,0.25,93.0
r,0.25,93.25
75,0.25,93.5
r,1.0,93.75
87,0.25,94.75
89,0.25,95.0
91,0.25,95.25
92,0.25,95.5
94,0.25,95.75
96,1.0,96.0
r,0.75,97.0
65,0.25,97.75
70,0.5,98.0
r,0.25,98.5
70,0.25,98.75
69,1.0,99.0
68,1.0,100.0
67,0.25,101.0
87,0.25,101.25
86,0.25,101.5
85,0.25,101.75
84,0.25,102.0
82,0.25,102.0
80,0.25,102.25
79,0.25,102.25
78,0.25,102.5
77,0.25,102.5
76,0.25,102.75
75,0.25,102.75
74,0.25,103.0
73,0.25,103.0
72,0.25,103.25
71,0.25,103.25
70,0.25,103.5
68,0.25,103.5
67,0.25,103.75
65,0.25,103.75
70,0.5,104.0
r,0.25,104.5
70,0.25,104.75
70,0.5,105.0
72,0.25,105.5
