61,1.0,0.0,0
58,1.0,0.0,0
42,2.0,0.0,0
30,2.0,0.0,0
r,1.75,0.0,0
61,1.0,1.0,0
66,1.0,1.0,0
58,1.0,1.0,0
65,0.25,1.75,0
68,0.25,1.75,0
59,0.25,1.75,0
65,1.0,2.0,0
68,1.0,2.0,0
59,1.0,2.0,0
30,2.0,2.0,0
42,2.0,2.0,0
r,2.0,2.0,0
70,0.5,3.0,0
66,0.5,3.0,0
61,0.5,3.0,0
70,0.25,3.5,0
64,0.25,3.5,0
61,0.25,3.5,0
r,0.25,3.75,0
66,1.0,4.0,0
63,1.0,4.0,0
71,0.5,4.0,0
30,2.0,4.0,0
42,2.0,4.0,0
73,0.25,4.5,0
71,0.25,4.5,0
70,0.25,4.75,0
71,0.25,4.75,0
65,0.75,5.0,0
68,0.75,5.0,0
75,0.75,5.0,0
r,1.25,5.0,0
73,0.25,5.75,0
71,0.25,5.75,0
66,1.0,6.0,0
30,1.0,6.0,0
42,1.0,6.0,0
r,1/3,6.0,0
70,0.25,6.25,0
75,0.25,6.25,0
73,0.25,19/3,0
73,0.25,6.5,0
r,17/12,79/12,0
r,1.25,6.75,0
70,0.75,7.0,0
71,0.25,7.75,0
42,0.5,8.0,0
42,3.0,8.0,0
73,1.0,8.0,0
54,0.5,8.5,0
66,1.0,9.0,0
61,1.0,9.0,0
58,0.5,9.0,0
54,0.5,9.5,0
59,0.5,10.0,0
61,1.0,10.0,0
65,1.0,10.0,0
54,0.5,10.5,0
61,1.0,11.0,0
66,1.0,11.0,0
42,1.0,11.0,0
58,0.5,11.0,0
r,1.0,11.0,0
54,0.5,11.5,0
71,3.0,12.0,0
61,3.0,12.0,0
59,3.0,12.0,0
65,3.0,12.0,0
56,0.5,12.0,0
49,0.5,12.5,0
56,0.5,13.0,0
49,0.5,13.5,0
56,0.5,14.0,0
49,0.5,14.5,0
53,0.5,15.0,0
56,1.0,15.0,0
68,1.0,15.0,0
61,1.0,15.0,0
49,0.5,15.5,0
42,0.5,16.0,0
58,1.0,16.0,0
61,1.0,16.0,0
70,1.0,16.0,0
54,0.5,16.5,0
75,1.0,17.0,0
63,1.0,17.0,0
47,0.5,17.0,0
54,0.5,17.5,0
46,0.5,18.0,0
61,1.0,18.0,0
73,1.0,18.0,0
54,0.5,18.5,0
51,0.5,19.0,0
66,1.0,19.0,0
78,1.0,19.0,0
54,0.5,19.5,0
65,1.0,20.0,0
42,1.0,20.0,0
77,1.0,20.0,0
49,0.5,20.0,0
54,0.5,20.5,0
63,1.0,21.0,0
42,1.0,21.0,0
75,1.0,21.0,0
47,0.5,21.0,0
54,0.5,21.5,0
73,1.0,22.0,0
61,1.0,22.0,0
42,1.0,22.0,0
46,0.5,22.0,0
54,0.5,22.5,0
70,0.25,23.0,0
71,0.25,23.0,0
r,1.0,23.0,0
r,0.25,23.25,0
70,0.25,23.5,0
66,0.25,23.75,0
71,0.25,23.75,0
r,0.25,24.0,0
r,1.0,24.0,0
