r,3.0,0.0
60,1.0,554.0
63,1.0,554.0
68,1.0,554.0
r,1.0,555.0
58,1.0,556.0
63,1.0,556.0
67,1.0,556.0
58,1.0,557.0
63,1.0,557.0
67,1.0,557.0
58,1.0,558.0
63,1.0,558.0
67,1.0,558.0
r,1.0,559.0
61,1.0,560.0
63,1.0,560.0
70,1.0,560.0
61,1.0,561.0
63,1.0,561.0
70,1.0,561.0
61,1.0,562.0
63,1.0,562.0
70,1.0,562.0
r,1.0,563.0
51,1.0,564.0
55,1.0,564.0
53,1.0,565.0
56,1.0,565.0
55,1.0,566.0
58,1.0,566.0
56,1.0,567.0
60,1.0,567.0
58,1.0,568.0
61,1.0,568.0
60,1.0,569.0
63,1.0,569.0
58,1.0,570.0
61,1.0,570.0
r,1.0,571.0
56,1.0,572.0
60,1.0,572.0
56,1.0,573.0
60,1.0,573.0
56,1.0,574.0
60,1.0,574.0
r,1.0,575.0
54,1.0,576.0
56,1.0,576.0
63,1.0,576.0
54,1.0,577.0
56,1.0,577.0
63,1.0,577.0
54,1.0,578.0
56,1.0,578.0
63,1.0,578.0
r,1.0,579.0
53,1.0,580.0
56,1.0,580.0
61,1.0,580.0
53,1.0,581.0
56,1.0,581.0
61,1.0,581.0
53,1.0,582.0
56,1.0,582.0
61,1.0,582.0
r,1.0,583.0
51,1.0,584.0
54,1.0,584.0
57,1.0,584.0
51,1.0,585.0
54,1.0,585.0
57,1.0,585.0
51,1.0,586.0
54,1.0,586.0
57,1.0,586.0
r,1.0,587.0
49,1.0,588.0
53,1.0,588.0
58,1.0,588.0
49,1.0,589.0
53,1.0,589.0
58,1.0,589.0
49,1.0,590.0
53,1.0,590.0
58,1.0,590.0
r,1.0,591.0
51,1.0,592.0
55,1.0,592.0
61,1.0,592.0
51,1.0,593.0
55,1.0,593.0
61,1.0,593.0
51,1.0,594.0
55,1.0,594.0
61,1.0,594.0
r,1.0,595.0
56,1.0,596.0
61,1.0,596.0
56,1.0,597.0
61,1.0,597.0
56,1.0,598.0
61,1.0,598.0
r,1.0,599.0
56,1.0,600.0
60,1.0,600.0
60,1.0,601.0
63,1.0,601.0
56,1.0,602.0
60,1.0,602.0
r,1.0,603.0
55,1.0,604.0
58,1.0,604.0
63,1.0,604.0
55,1.0,605.0
58,1.0,605.0
63,1.0,605.0
55,1.0,606.0
58,1.0,606.0
63,1.0,606.0
r,1.0,607.0
58,1.0,608.0
61,1.0,608.0
63,1.0,608.0
58,1.0,609.0
61,1.0,609.0
63,1.0,609.0
58,1.0,610.0
61,1.0,610.0
63,1.0,610.0
r,1.0,611.0
56,1.0,612.0
60,1.0,612.0
63,1.0,612.0
56,1.0,613.0
60,1.0,613.0
63,1.0,613.0
56,1.0,614.0
60,1.0,614.0
63,1.0,614.0
r,1.0,615.0
60,1.0,616.0
63,1.0,616.0
68,1.0,616.0
60,1.0,617.0
63,1.0,617.0
68,1.0,617.0
60,1.0,618.0
63,1.0,618.0
68,1.0,618.0
r,1.0,619.0
58,1.0,620.0
63,1.0,620.0
67,1.0,620.0
58,1.0,621.0
63,1.0,621.0
67,1.0,621.0
58,1.0,622.0
63,1.0,622.0
67,1.0,622.0
r,1.0,623.0
61,1.0,624.0
63,1.0,624.0
70,1.0,624.0
61,1.0,625.0
63,1.0,625.0
70,1.0,625.0
61,1.0,626.0
63,1.0,626.0
70,1.0,626.0
r,1.0,627.0
51,1.0,628.0
55,1.0,628.0
53,1.0,629.0
56,1.0,629.0
55,1.0,630.0
58,1.0,630.0
56,1.0,631.0
60,1.0,631.0
58,1.0,632.0
61,1.0,632.0
60,1.0,633.0
63,1.0,633.0
58,1.0,634.0
61,1.0,634.0
r,1.0,635.0
56,1.0,636.0
60,1.0,636.0
56,1.0,637.0
60,1.0,637.0
56,1.0,638.0
60,1.0,638.0
r,1.0,639.0
54,1.0,640.0
56,1.0,640.0
63,1.0,640.0
54,1.0,641.0
56,1.0,641.0
63,1.0,641.0
54,1.0,642.0
56,1.0,642.0
63,1.0,642.0
r,1.0,643.0
53,1.0,644.0
56,1.0,644.0
61,1.0,644.0
53,1.0,645.0
56,1.0,645.0
61,1.0,645.0
53,1.0,646.0
56,1.0,646.0
61,1.0,646.0
r,1.0,647.0
51,1.0,648.0
54,1.0,648.0
57,1.0,648.0
51,1.0,649.0
54,1.0,649.0
57,1.0,649.0
51,1.0,650.0
54,1.0,650.0
57,1.0,650.0
r,1.0,651.0
49,1.0,652.0
53,1.0,652.0
58,1.0,652.0
49,1.0,653.0
53,1.0,653.0
58,1.0,653.0
49,1.0,654.0
53,1.0,654.0
58,1.0,654.0
r,1.0,655.0
51,1.0,656.0
55,1.0,656.0
61,1.0,656.0
51,1.0,657.0
55,1.0,657.0
61,1.0,657.0
51,1.0,658.0
55,1.0,658.0
61,1.0,658.0
44,1/3,659.0
48,1/3,1978/3
51,1/3,1979/3
44,1/3,660.0
48,1/3,1981/3
51,1/3,1982/3
44,1/3,661.0
48,1/3,1984/3
51,1/3,1985/3
44,1/3,662.0
48,1/3,1987/3
51,1/3,1988/3
44,1/3,663.0
48,1/3,1990/3
51,1/3,1991/3
44,1/3,664.0
48,1/3,1993/3
51,1/3,1994/3
44,1/3,665.0
48,1/3,1996/3
51,1/3,1997/3
44,1/3,666.0
48,1/3,1999/3
51,1/3,2000/3
44,1.0,667.0
56,1.0,668.0
60,1.0,668.0
63,1.0,668.0
56,1.0,669.0
60,1.0,669.0
63,1.0,669.0
56,1.0,670.0
60,1.0,670.0
63,1.0,670.0
56,1.0,671.0
60,1.0,671.0
63,1.0,671.0
56,1.0,672.0
60,1.0,672.0
63,1.0,672.0
56,1.0,673.0
60,1.0,673.0
63,1.0,673.0
56,1.0,674.0
60,1.0,674.0
63,1.0,674.0
43,1/3,675.0
48,1/3,2026/3
52,1/3,2027/3
43,1/3,676.0
48,1/3,2029/3
52,1/3,2030/3
43,1/3,677.0
48,1/3,2032/3
52,1/3,2033/3
43,1/3,678.0
48,1/3,2035/3
52,1/3,2036/3
43,1/3,679.0
48,1/3,2038/3
52,1/3,2039/3
43,1/3,680.0
48,1/3,2041/3
52,1/3,2042/3
43,1/3,681.0
48,1/3,2044/3
52,1/3,2045/3
43,1/3,682.0
48,1/3,2047/3
52,1/3,2048/3
43,1.0,683.0
55,1.0,684.0
58,1.0,684.0
64,1.0,684.0
55,1.0,685.0
58,1.0,685.0
64,1.0,685.0
55,1.0,686.0
58,1.0,686.0
64,1.0,686.0
55,1.0,687.0
58,1.0,687.0
64,1.0,687.0
55,1.0,688.0
58,1.0,688.0
64,1.0,688.0
55,1.0,689.0
58,1.0,689.0
64,1.0,689.0
55,1.0,690.0
58,1.0,690.0
64,1.0,690.0
41,1/3,691.0
48,1/3,2074/3
53,1/3,2075/3
41,1/3,692.0
48,1/3,2077/3
53,1/3,2078/3
41,1/3,693.0
48,1/3,2080/3
53,1/3,2081/3
41,1/3,694.0
48,1/3,2083/3
53,1/3,2084/3
41,1/3,695.0
48,1/3,2086/3
53,1/3,2087/3
41,1/3,696.0
48,1/3,2089/3
53,1/3,2090/3
41,1/3,697.0
48,1/3,2092/3
53,1/3,2093/3
41,1/3,698.0
48,1/3,2095/3
53,1/3,2096/3
41,1.0,699.0
53,1.0,700.0
56,1.0,700.0
r,3.0,700.0
53,1.0,701.0
56,1.0,701.0
53,1.0,702.0
56,1.0,702.0
49,4.0,703.0
53,1.0,703.0
56,1.0,703.0
53,1.0,704.0
56,1.0,704.0
r,3.0,704.0
53,1.0,705.0
56,1.0,705.0
53,1.0,706.0
56,1.0,706.0
48,4.0,707.0
54,1.0,707.0
56,1.0,707.0
54,1.0,708.0
56,1.0,708.0
r,3.0,708.0
54,1.0,709.0
56,1.0,709.0
54,1.0,710.0
56,1.0,710.0
51,4.0,711.0
54,1.0,711.0
56,1.0,711.0
54,1.0,712.0
56,1.0,712.0
r,3.0,712.0
54,1.0,713.0
56,1.0,713.0
54,1.0,714.0
56,1.0,714.0
49,4.0,715.0
53,1.0,715.0
56,1.0,715.0
53,1.0,716.0
56,1.0,716.0
r,3.0,716.0
53,1.0,717.0
56,1.0,717.0
53,1.0,718.0
56,1.0,718.0
48,4.0,719.0
51,1.0,719.0
53,1.0,719.0
51,1.0,720.0
53,1.0,720.0
51,1.0,721.0
53,1.0,721.0
51,1.0,722.0
53,1.0,722.0
46,4.0,723.0
49,1.0,724.0
53,1.0,724.0
49,1.0,725.0
53,1.0,725.0
49,1.0,726.0
53,1.0,726.0
46,2.0,727.0
49,1.0,728.0
55,1.0,728.0
r,2.0,728.0
47,2.0,729.0
50,1.0,730.0
55,1.0,730.0
48,1/3,731.0
r,1.0,731.0
52,1/3,2194/3
55,1/3,2195/3
r,1.0,732.0
60,0.5,733.0
r,0.5,733.5
60,0.5,734.0
r,0.5,734.5
60,0.5,735.0
r,0.5,735.5
r,1.0,736.0
48,0.5,737.0
r,0.5,737.5
47,0.5,738.0
r,0.5,738.5
48,1/3,739.0
52,1/3,2218/3
55,1/3,2219/3
r,1.0,740.0
60,0.5,741.0
r,0.5,741.5
60,0.5,742.0
r,0.5,742.5
60,0.5,743.0
r,0.5,743.5
r,1.0,744.0
48,0.5,745.0
r,0.5,745.5
47,0.5,746.0
r,0.5,746.5
48,5.0,747.0
58,1.0,749.0
57,1.0,750.0
58,1.0,751.0
48,4.0,752.0
r,1.0,752.0
58,1.0,753.0
57,1.0,754.0
58,1.0,755.0
48,3.0,756.0
r,1.0,756.0
58,1.0,757.0
57,1.0,758.0
48,1.0,759.0
58,1.0,759.0
48,7.0,760.0
55,1.0,763.0
48,7.0,764.0
52,1.0,767.0
48,7.0,768.0
58,4.0,771.0
58,3.0,772.0
53,1/3,775.0
56,1/3,2326/3
60,1/3,2327/3
53,1/3,776.0
56,1/3,2329/3
60,1/3,2330/3
53,1/3,777.0
56,1/3,2332/3
60,1/3,2333/3
53,1/3,778.0
58,1/3,2335/3
61,1/3,2336/3
53,1/3,779.0
60,1/3,2338/3
56,1/3,2339/3
53,1/3,780.0
48,1/3,2341/3
44,1/3,2342/3
41,1/3,781.0
44,1/3,2344/3
48,1/3,2345/3
40,1/3,782.0
43,1/3,2347/3
48,1/3,2348/3
41,1/3,783.0
44,1/3,2350/3
48,1/3,2351/3
53,1/3,784.0
56,1/3,2353/3
60,1/3,2354/3
53,1/3,785.0
56,1/3,2356/3
60,1/3,2357/3
53,1/3,786.0
58,1/3,2359/3
61,1/3,2360/3
53,1/3,787.0
60,1/3,2362/3
56,1/3,2363/3
53,1/3,788.0
48,1/3,2365/3
44,1/3,2366/3
41,1/3,789.0
44,1/3,2368/3
48,1/3,2369/3
40,1/3,790.0
43,1/3,2371/3
48,1/3,2372/3
41,1/3,791.0
44,1/3,2374/3
48,1/3,2375/3
53,1/3,792.0
r,1.0,792.0
56,1/3,2377/3
60,1/3,2378/3
55,2.0,793.0
61,1.0,793.0
58,1.0,794.0
56,1.0,795.0
60,1.0,795.0
r,1.0,795.0
r,1.0,796.0
r,1.0,796.0
56,1.0,796.0
60,1.0,796.0
55,2.0,797.0
61,1.0,797.0
58,1.0,798.0
56,1.0,799.0
60,1.0,799.0
r,1.0,799.0
r,1.0,800.0
r,1.0,800.0
56,1.0,800.0
60,1.0,800.0
55,2.0,801.0
61,1.0,801.0
58,1.0,802.0
56,1.0,803.0
60,1.0,803.0
r,1.0,803.0
52,1.0,804.0
55,1.0,804.0
53,1.0,805.0
56,1.0,805.0
49,1.0,806.0
53,1.0,806.0
48,0.5,807.0
52,0.5,807.0
r,0.5,807.5
60,0.5,808.0
r,1.0,808.0
r,0.5,808.5
64,2.0,809.0
70,1.0,809.0
67,1.0,810.0
65,1.0,811.0
68,1.0,811.0
r,1.0,811.0
65,1.0,812.0
68,1.0,812.0
60,0.5,813.0
r,0.5,813.5
60,0.5,814.0
r,0.5,814.5
60,1.0,815.0
65,0.5,816.0
r,1.0,816.0
r,0.5,816.5
64,2.0,817.0
70,1.0,817.0
67,1.0,818.0
65,1.0,819.0
68,1.0,819.0
r,1.0,819.0
65,1.0,820.0
68,1.0,820.0
60,0.5,821.0
r,0.5,821.5
60,0.5,822.0
r,0.5,822.5
60,1/3,823.0
61,1/3,823.0
60,0.25,2470/3
59,0.25,2470/3
r,1/6,9883/12
60,0.25,823.75
65,0.5,824.0
r,0.5,824.5
52,1.0,825.0
55,1.0,825.0
52,1.0,826.0
55,1.0,826.0
53,1.0,827.0
56,1.0,827.0
r,1.0,828.0
49,1.0,829.0
53,1.0,829.0
r,1.0,830.0
48,1/3,831.0
52,1/3,2494/3
55,1/3,2495/3
48,1/3,832.0
52,1/3,2497/3
55,1/3,2498/3
48,1/3,833.0
52,1/3,2500/3
55,1/3,2501/3
48,1/3,834.0
52,1/3,2503/3
55,1/3,2504/3
48,1/3,835.0
55,1/3,2506/3
52,1/3,2507/3
48,1/3,836.0
43,1/3,2509/3
40,1/3,2510/3
36,1/3,837.0
40,1/3,2512/3
43,1/3,2513/3
36,1/3,838.0
40,1/3,2515/3
43,1/3,2516/3
36,1/3,839.0
40,1/3,2518/3
43,1/3,2519/3
48,1/3,840.0
52,1/3,2521/3
55,1/3,2522/3
48,1/3,841.0
52,1/3,2524/3
55,1/3,2525/3
48,1/3,842.0
52,1/3,2527/3
55,1/3,2528/3
48,1/3,843.0
55,1/3,2530/3
52,1/3,2531/3
48,1/3,844.0
43,1/3,2533/3
40,1/3,2534/3
36,1/3,845.0
40,1/3,2536/3
43,1/3,2537/3
36,1/3,846.0
40,1/3,2539/3
43,1/3,2540/3
36,1/3,847.0
40,1/3,2542/3
43,1/3,2543/3
48,1/3,848.0
43,1/3,2545/3
40,1/3,2546/3
36,1/3,849.0
40,1/3,2548/3
43,1/3,2549/3
36,1/3,850.0
40,1/3,2551/3
43,1/3,2552/3
36,1/3,851.0
40,1/3,2554/3
43,1/3,2555/3
48,1/3,852.0
43,1/3,2557/3
40,1/3,2558/3
36,1/3,853.0
40,1/3,2560/3
43,1/3,2561/3
36,1/3,854.0
40,1/3,2563/3
43,1/3,2564/3
36,1/3,855.0
40,1/3,2566/3
43,1/3,2567/3
48,1/3,856.0
43,1/3,2569/3
40,1/3,2570/3
36,1/3,857.0
40,1/3,2572/3
43,1/3,2573/3
48,1/3,858.0
43,1/3,2575/3
40,1/3,2576/3
36,1.0,859.0
r,4.0,860.0
r,4/3,864.0
49,1/3,2596/3
48,1/3,2597/3
46,1/3,866.0
44,1/3,2599/3
43,1/3,2600/3
41,1.0,867.0
49,1.0,868.0
48,1.0,869.0
47,1.0,870.0
48,1.0,871.0
49,1.0,872.0
48,1.0,873.0
47,1.0,874.0
48,1.0,875.0
49,1.0,876.0
61,1.0,876.0
48,1.0,877.0
60,1.0,877.0
47,1.0,878.0
59,1.0,878.0
48,1.0,879.0
60,1.0,879.0
49,1.0,880.0
61,1.0,880.0
48,1.0,881.0
60,1.0,881.0
47,1.0,882.0
59,1.0,882.0
48,1.0,883.0
60,1.0,883.0
61,1.0,884.0
62,1.0,885.0
63,1.0,886.0
57,1.0,887.0
58,1.0,888.0
55,1.0,889.0
56,1.0,890.0
52,1.0,891.0
53,1.0,892.0
46,1.0,893.0
47,1.0,894.0
36,0.5,895.0
48,0.5,895.5
36,0.5,896.0
48,0.5,896.5
36,0.5,897.0
48,0.5,897.5
36,0.5,898.0
48,0.5,898.5
36,1.0,899.0
53,0.5,900.0
65,0.5,900.5
50,0.5,901.0
62,0.5,901.5
51,0.5,902.0
63,0.5,902.5
45,0.5,903.0
57,0.5,903.5
46,0.5,904.0
58,0.5,904.5
43,0.5,905.0
55,0.5,905.5
44,0.5,906.0
56,0.5,906.5
40,0.5,907.0
52,0.5,907.5
41,0.5,908.0
53,0.5,908.5
34,0.5,909.0
46,0.5,909.5
35,0.5,910.0
47,0.5,910.5
36,0.5,911.0
48,0.5,911.5
36,0.5,912.0
48,0.5,912.5
36,0.5,913.0
48,0.5,913.5
36,0.5,914.0
48,0.5,914.5
41,1/3,915.0
44,1/3,2746/3
48,1/3,2747/3
41,1/3,916.0
44,1/3,2749/3
48,1/3,2750/3
41,1/3,917.0
44,1/3,2752/3
49,1/3,2753/3
41,1/3,918.0
44,1/3,2755/3
49,1/3,2756/3
43,1/3,919.0
46,1/3,2758/3
49,1/3,2759/3
43,1/3,920.0
46,1/3,2761/3
49,1/3,2762/3
43,1/3,921.0
46,1/3,2764/3
51,1/3,2765/3
43,1/3,922.0
46,1/3,2767/3
51,1/3,2768/3
44,1/3,923.0
48,1/3,2770/3
51,1/3,2771/3
44,1/3,924.0
48,1/3,2773/3
51,1/3,2774/3
45,1/3,925.0
48,1/3,2776/3
53,1/3,2777/3
45,1/3,926.0
48,1/3,2779/3
53,1/3,2780/3
46,1/3,927.0
49,1/3,2782/3
53,1/3,2783/3
46,1/3,928.0
49,1/3,2785/3
53,1/3,2786/3
46,1/3,929.0
49,1/3,2788/3
55,1/3,2789/3
46,1/3,930.0
49,1/3,2791/3
55,1/3,2792/3
48,1/3,931.0
51,1/3,2794/3
56,1/3,2795/3
48,1/3,932.0
51,1/3,2797/3
56,1/3,2798/3
48,1/3,933.0
51,1/3,2800/3
57,1/3,2801/3
48,1/3,934.0
51,1/3,2803/3
57,1/3,2804/3
49,1/3,935.0
53,1/3,2806/3
58,1/3,2807/3
49,1/3,936.0
53,1/3,2809/3
58,1/3,2810/3
50,1/3,937.0
53,1/3,2812/3
59,1/3,2813/3
50,1/3,938.0
53,1/3,2815/3
59,1/3,2816/3
48,1/3,939.0
53,1/3,2818/3
56,1/3,2819/3
48,1/3,940.0
53,1/3,2821/3
56,1/3,2822/3
48,1/3,941.0
53,1/3,2824/3
56,1/3,2825/3
48,1/3,942.0
53,1/3,2827/3
56,1/3,2828/3
48,1/3,943.0
52,1/3,2830/3
55,1/3,2831/3
48,1/3,944.0
52,1/3,2833/3
55,1/3,2834/3
48,1/3,945.0
52,1/3,2836/3
55,1/3,2837/3
48,1/3,946.0
52,1/3,2839/3
55,1/3,2840/3
41,1/3,947.0
44,1/3,2842/3
48,1/3,2843/3
41,1/3,948.0
44,1/3,2845/3
48,1/3,2846/3
41,1/3,949.0
44,1/3,2848/3
49,1/3,2849/3
41,1/3,950.0
44,1/3,2851/3
49,1/3,2852/3
43,1/3,951.0
46,1/3,2854/3
49,1/3,2855/3
43,1/3,952.0
46,1/3,2857/3
49,1/3,2858/3
43,1/3,953.0
46,1/3,2860/3
51,1/3,2861/3
43,1/3,954.0
46,1/3,2863/3
51,1/3,2864/3
44,1/3,955.0
48,1/3,2866/3
51,1/3,2867/3
44,1/3,956.0
48,1/3,2869/3
51,1/3,2870/3
45,1/3,957.0
48,1/3,2872/3
53,1/3,2873/3
45,1/3,958.0
48,1/3,2875/3
53,1/3,2876/3
46,1/3,959.0
49,1/3,2878/3
53,1/3,2879/3
46,1/3,960.0
49,1/3,2881/3
53,1/3,2882/3
46,1/3,961.0
49,1/3,2884/3
55,1/3,2885/3
46,1/3,962.0
49,1/3,2887/3
55,1/3,2888/3
48,1/3,963.0
51,1/3,2890/3
56,1/3,2891/3
48,1/3,964.0
51,1/3,2893/3
56,1/3,2894/3
48,1/3,965.0
51,1/3,2896/3
57,1/3,2897/3
48,1/3,966.0
51,1/3,2899/3
57,1/3,2900/3
49,1/3,967.0
53,1/3,2902/3
58,1/3,2903/3
49,1/3,968.0
53,1/3,2905/3
58,1/3,2906/3
50,1/3,969.0
53,1/3,2908/3
59,1/3,2909/3
50,1/3,970.0
53,1/3,2911/3
59,1/3,2912/3
48,1/3,971.0
53,1/3,2914/3
56,1/3,2915/3
48,1/3,972.0
53,1/3,2917/3
56,1/3,2918/3
48,1/3,973.0
53,1/3,2920/3
56,1/3,2921/3
48,1/3,974.0
53,1/3,2923/3
56,1/3,2924/3
48,1/3,975.0
52,1/3,2926/3
55,1/3,2927/3
48,1/3,976.0
52,1/3,2929/3
55,1/3,2930/3
48,1/3,977.0
52,1/3,2932/3
55,1/3,2933/3
48,1/3,978.0
52,1/3,2935/3
55,1/3,2936/3
41,1.0,979.0
53,1.0,979.0
r,1.0,980.0
65,1.0,981.0
68,1.0,981.0
72,1.0,981.0
65,1.0,982.0
70,1.0,982.0
73,1.0,982.0
65,1.0,983.0
68,1.0,983.0
72,1.0,983.0
r,1.0,984.0
53,1.0,985.0
56,1.0,985.0
60,1.0,985.0
48,1.0,986.0
55,1.0,986.0
60,1.0,986.0
53,1.0,987.0
56,1.0,987.0
60,1.0,987.0
r,1.0,988.0
65,1.0,989.0
68,1.0,989.0
72,1.0,989.0
65,1.0,990.0
70,1.0,990.0
73,1.0,990.0
65,1.0,991.0
68,1.0,991.0
72,1.0,991.0
r,1.0,992.0
53,1.0,993.0
56,1.0,993.0
60,1.0,993.0
48,1.0,994.0
55,1.0,994.0
60,1.0,994.0
53,1.0,995.0
56,1.0,995.0
60,1.0,995.0
r,1.0,996.0
53,1.0,997.0
56,1.0,997.0
60,1.0,997.0
53,1.0,998.0
58,1.0,998.0
61,1.0,998.0
53,1.0,999.0
56,1.0,999.0
60,1.0,999.0
r,1.0,1000.0
53,1.0,1001.0
56,1.0,1001.0
60,1.0,1001.0
53,1.0,1002.0
58,1.0,1002.0
61,1.0,1002.0
53,1.0,1003.0
56,1.0,1003.0
60,1.0,1003.0
r,2.0,1004.0
53,1/3,1006.0
48,1/3,3019/3
44,1/3,3020/3
41,1.0,1007.0
r,4.0,1008.0
56,1.0,1012.0
60,1.0,1012.0
56,1.0,1013.0
60,1.0,1013.0
56,1.0,1014.0
60,1.0,1014.0
r,1.0,1015.0
56,1.0,1016.0
60,1.0,1016.0
63,1.0,1016.0
56,1.0,1017.0
60,1.0,1017.0
63,1.0,1017.0
56,1.0,1018.0
60,1.0,1018.0
63,1.0,1018.0
r,1.0,1019.0
55,1.0,1020.0
58,1.0,1020.0
63,1.0,1020.0
55,1.0,1021.0
58,1.0,1021.0
63,1.0,1021.0
55,1.0,1022.0
58,1.0,1022.0
63,1.0,1022.0
r,1.0,1023.0
55,1.0,1024.0
58,1.0,1024.0
63,1.0,1024.0
55,1.0,1025.0
58,1.0,1025.0
63,1.0,1025.0
55,1.0,1026.0
58,1.0,1026.0
63,1.0,1026.0
r,1.0,1027.0
53,1.0,1028.0
56,1.0,1028.0
61,1.0,1028.0
53,1.0,1029.0
56,1.0,1029.0
61,1.0,1029.0
53,1.0,1030.0
56,1.0,1030.0
61,1.0,1030.0
r,1.0,1031.0
51,1.0,1032.0
56,1.0,1032.0
60,1.0,1032.0
51,1.0,1033.0
56,1.0,1033.0
60,1.0,1033.0
51,1.0,1034.0
56,1.0,1034.0
60,1.0,1034.0
r,1.0,1035.0
49,1.0,1036.0
53,1.0,1036.0
58,1.0,1036.0
49,1.0,1037.0
53,1.0,1037.0
58,1.0,1037.0
49,1.0,1038.0
53,1.0,1038.0
58,1.0,1038.0
r,1.0,1039.0
51,1.0,1040.0
60,1.0,1040.0
51,1.0,1041.0
61,1.0,1041.0
51,1.0,1042.0
61,1.0,1042.0
r,1.0,1043.0
56,1.0,1044.0
61,1.0,1044.0
56,1.0,1045.0
61,1.0,1045.0
56,1.0,1046.0
61,1.0,1046.0
r,1.0,1047.0
56,1.0,1048.0
60,1.0,1049.0
63,1.0,1050.0
r,1.0,1051.0
68,1.0,1052.0
72,1.0,1052.0
68,1.0,1053.0
72,1.0,1053.0
68,1.0,1054.0
72,1.0,1054.0
r,1.0,1055.0
68,1.0,1056.0
72,1.0,1056.0
75,1.0,1056.0
68,1.0,1057.0
72,1.0,1057.0
75,1.0,1057.0
68,1.0,1058.0
72,1.0,1058.0
75,1.0,1058.0
r,1.0,1059.0
67,1.0,1060.0
70,1.0,1060.0
75,1.0,1060.0
67,1.0,1061.0
70,1.0,1061.0
75,1.0,1061.0
67,1.0,1062.0
70,1.0,1062.0
75,1.0,1062.0
r,1.0,1063.0
67,1.0,1064.0
70,1.0,1064.0
75,1.0,1064.0
67,1.0,1065.0
70,1.0,1065.0
75,1.0,1065.0
67,1.0,1066.0
70,1.0,1066.0
75,1.0,1066.0
r,1.0,1067.0
65,1.0,1068.0
68,1.0,1068.0
73,1.0,1068.0
65,1.0,1069.0
68,1.0,1069.0
73,1.0,1069.0
65,1.0,1070.0
68,1.0,1070.0
73,1.0,1070.0
r,1.0,1071.0
63,1.0,1072.0
69,1.0,1072.0
72,1.0,1072.0
63,1.0,1073.0
69,1.0,1073.0
72,1.0,1073.0
63,1.0,1074.0
69,1.0,1074.0
72,1.0,1074.0
r,1.0,1075.0
61,1.0,1076.0
65,1.0,1076.0
70,1.0,1076.0
61,1.0,1077.0
65,1.0,1077.0
70,1.0,1077.0
61,1.0,1078.0
65,1.0,1078.0
70,1.0,1078.0
r,1.0,1079.0
63,1.0,1080.0
72,1.0,1080.0
63,1.0,1081.0
73,1.0,1081.0
63,1.0,1082.0
73,1.0,1082.0
r,1.0,1083.0
67,1.0,1084.0
68,1.0,1085.0
67,1.0,1086.0
68,1.0,1087.0
63,1.0,1088.0
60,1.0,1089.0
56,1.0,1090.0
r,1.0,1091.0
55,1.0,1092.0
58,1.0,1092.0
63,1.0,1092.0
55,1.0,1093.0
58,1.0,1093.0
63,1.0,1093.0
55,1.0,1094.0
58,1.0,1094.0
63,1.0,1094.0
r,1.0,1095.0
58,1.0,1096.0
61,1.0,1096.0
63,1.0,1096.0
58,1.0,1097.0
61,1.0,1097.0
63,1.0,1097.0
58,1.0,1098.0
61,1.0,1098.0
63,1.0,1098.0
r,1.0,1099.0
56,1.0,1100.0
60,1.0,1100.0
63,1.0,1100.0
56,1.0,1101.0
60,1.0,1101.0
63,1.0,1101.0
56,1.0,1102.0
60,1.0,1102.0
63,1.0,1102.0
r,1.0,1103.0
60,1.0,1104.0
63,1.0,1104.0
68,1.0,1104.0
60,1.0,1105.0
63,1.0,1105.0
68,1.0,1105.0
60,1.0,1106.0
63,1.0,1106.0
68,1.0,1106.0
r,1.0,1107.0
58,1.0,1108.0
63,1.0,1108.0
67,1.0,1108.0
58,1.0,1109.0
63,1.0,1109.0
67,1.0,1109.0
58,1.0,1110.0
63,1.0,1110.0
67,1.0,1110.0
r,1.0,1111.0
61,1.0,1112.0
63,1.0,1112.0
70,1.0,1112.0
61,1.0,1113.0
63,1.0,1113.0
70,1.0,1113.0
61,1.0,1114.0
63,1.0,1114.0
70,1.0,1114.0
r,1.0,1115.0
51,1.0,1116.0
55,1.0,1116.0
53,1.0,1117.0
56,1.0,1117.0
55,1.0,1118.0
58,1.0,1118.0
56,1.0,1119.0
60,1.0,1119.0
58,1.0,1120.0
61,1.0,1120.0
60,1.0,1121.0
63,1.0,1121.0
58,1.0,1122.0
61,1.0,1122.0
r,1.0,1123.0
56,1.0,1124.0
60,1.0,1124.0
56,1.0,1125.0
60,1.0,1125.0
56,1.0,1126.0
60,1.0,1126.0
r,1.0,1127.0
54,1.0,1128.0
56,1.0,1128.0
63,1.0,1128.0
54,1.0,1129.0
56,1.0,1129.0
63,1.0,1129.0
54,1.0,1130.0
56,1.0,1130.0
63,1.0,1130.0
r,1.0,1131.0
53,1.0,1132.0
56,1.0,1132.0
61,1.0,1132.0
53,1.0,1133.0
56,1.0,1133.0
61,1.0,1133.0
53,1.0,1134.0
56,1.0,1134.0
61,1.0,1134.0
r,1.0,1135.0
51,1.0,1136.0
54,1.0,1136.0
57,1.0,1136.0
51,1.0,1137.0
54,1.0,1137.0
57,1.0,1137.0
51,1.0,1138.0
54,1.0,1138.0
57,1.0,1138.0
r,1.0,1139.0
49,1.0,1140.0
53,1.0,1140.0
58,1.0,1140.0
49,1.0,1141.0
53,1.0,1141.0
58,1.0,1141.0
49,1.0,1142.0
53,1.0,1142.0
58,1.0,1142.0
r,1.0,1143.0
51,1.0,1144.0
55,1.0,1144.0
61,1.0,1144.0
51,1.0,1145.0
