67,0.25,101/3
74,0.25,101/3
67,0.25,33.75
74,0.25,33.75
r,1/12,407/12
68,0.5,34.0
72,0.5,34.0
r,2.0,34.0
r,1.5,34.5
r,5/3,36.0
r,1.75,36.0
53,0.25,113/3
60,0.25,113/3
62,0.25,113/3
53,0.25,37.75
60,0.25,37.75
62,0.25,37.75
r,1/12,455/12
55,0.5,38.0
60,0.5,38.0
63,0.5,38.0
r,2.0,38.0
r,5/6,38.5
43,0.5,118/3
50,0.5,118/3
53,0.5,118/3
r,1/6,239/6
r,4/3,40.0
r,1.75,40.0
36,0.5,124/3
48,1/3,41.75
r,0.5,251/6
r,2/3,505/12
36,0.5,127/3
48,1/3,42.75
r,0.5,257/6
r,2/3,517/12
36,0.5,130/3
48,1/3,43.75
r,1/6,263/6
r,1/3,44.0
r,0.75,44.0
36,0.5,133/3
48,1/3,44.75
r,0.5,269/6
r,2/3,541/12
36,0.5,136/3
48,1/3,45.75
r,0.5,275/6
r,2/3,553/12
36,0.5,139/3
48,1/3,46.75
r,0.5,281/6
r,2/3,565/12
36,0.5,142/3
48,1/3,47.75
r,1/6,287/6
r,1/3,48.0
r,0.75,48.0
36,0.5,145/3
48,1/3,48.75
r,0.5,293/6
r,2/3,589/12
36,0.5,148/3
48,1/3,49.75
r,0.5,299/6
r,2/3,601/12
36,0.5,151/3
48,1/3,50.75
r,0.5,305/6
r,2/3,613/12
36,0.5,154/3
48,1/3,51.75
r,1/6,311/6
r,1/3,52.0
r,0.75,52.0
36,0.5,157/3
48,1/3,52.75
r,0.5,317/6
r,2/3,637/12
36,0.5,160/3
48,1/3,53.75
r,0.5,323/6
r,2/3,649/12
36,0.5,163/3
48,1/3,54.75
r,0.5,329/6
r,2/3,661/12
36,0.5,166/3
48,1/3,55.75
r,1/6,335/6
r,1/3,56.0
r,0.75,56.0
36,0.5,169/3
48,1/3,56.75
r,0.5,341/6
r,2/3,685/12
36,0.5,172/3
48,1/3,57.75
r,0.5,347/6
r,2/3,697/12
36,0.5,175/3
48,1/3,58.75
r,0.5,353/6
r,2/3,709/12
38,0.5,178/3
50,1/3,59.75
r,1/6,359/6
r,1/3,60.0
r,0.75,60.0
38,0.5,181/3
50,1/3,60.75
r,0.5,365/6
r,2/3,733/12
