0.0,Formula de Compasso,2/4
24.75,Note,Parte_1,0.25,78,
25.0,Note,Parte_1,0.25,77,
25.0,Note,Parte_3,0.5,56,
25.25,Note,Parte_1,0.25,80,
25.5,Note,Parte_1,0.25,77,
25.5,Note,Parte_3,0.5,49,
25.75,Note,Parte_1,0.25,85,
26.0,Note,Parte_1,0.25,78,
26.0,Rest,Parte_2,2.0,0,
26.0,Note,Parte_3,0.5,54,
26.0,Rest,Parte_4,2.0,0,
26.0,Rest,Parte_5,2.0,0,
26.25,Note,Parte_1,0.25,82,
26.5,Note,Parte_1,0.25,78,
26.5,Note,Parte_3,0.5,49,
26.75,Note,Parte_1,0.25,85,
27.0,Note,Parte_1,0.25,78,
27.0,Note,Parte_3,0.5,46,
27.25,Note,Parte_1,0.25,85,
27.5,Note,Parte_1,0.25,82,
27.5,Note,Parte_3,0.5,49,
27.75,Note,Parte_1,0.25,85,
28.0,Note,Parte_1,0.25,82,
28.0,Rest,Parte_2,2.0,0,
28.0,Note,Parte_3,0.5,42,
28.0,Rest,Parte_4,2.0,0,
28.0,Rest,Parte_5,2.0,0,
28.25,Note,Parte_1,0.25,85,
28.5,Note,Parte_1,0.25,82,
28.5,Note,Parte_3,0.5,49,
28.75,Note,Parte_1,0.25,85,
29.0,Note,Parte_1,0.25,80,
29.0,Note,Parte_3,0.5,37,
29.25,Note,Parte_1,0.25,83,
29.5,Note,Parte_1,0.25,77,
29.5,Note,Parte_3,0.5,49,
29.75,Note,Parte_1,0.25,85,
30.0,Note,Parte_1,0.25,82,
30.0,Rest,Parte_2,2.0,0,
30.0,Note,Parte_3,0.5,42,
30.0,Rest,Parte_4,2.0,0,
30.0,Rest,Parte_5,2.0,0,
30.25,Note,Parte_1,0.25,78,
30.5,Note,Parte_1,0.25,70,
30.5,Note,Parte_3,0.5,61,
30.75,Note,Parte_1,0.25,78,
31.0,Note,Parte_1,0.25,71,
31.0,Note,Parte_3,0.5,63,
31.25,Note,Parte_1,0.25,78,
31.5,Note,Parte_1,0.25,70,
31.5,Note,Parte_3,0.5,61,
31.75,Note,Parte_1,0.25,78,
32.0,Note,Parte_1,0.25,75,
32.0,Rest,Parte_2,2.0,0,
32.0,Note,Parte_3,0.5,59,
32.0,Rest,Parte_4,2.0,0,
32.0,Rest,Parte_5,2.0,0,
32.25,Note,Parte_1,0.25,78,
32.5,Note,Parte_1,0.25,73,
32.5,Note,Parte_3,0.5,58,
32.75,Note,Parte_1,0.25,78,
33.0,Note,Parte_1,0.25,77,
33.0,Note,Parte_3,0.5,56,
33.25,Note,Parte_1,0.25,80,
33.5,Note,Parte_1,0.25,77,
33.5,Note,Parte_3,0.5,53,
33.75,Note,Parte_1,0.25,85,
34.0,Note,Parte_1,0.25,78,
34.0,Rest,Parte_2,2.0,0,
34.0,Note,Parte_3,0.5,54,
34.0,Rest,Parte_4,2.0,0,
34.0,Rest,Parte_5,2.0,0,
34.25,Note,Parte_1,0.25,82,
34.5,Note,Parte_1,0.25,78,
34.5,Note,Parte_3,0.5,49,
34.75,Note,Parte_1,0.25,85,
35.0,Note,Parte_1,0.25,78,
35.0,Note,Parte_3,0.5,46,
35.25,Note,Parte_1,0.25,85,
35.5,Note,Parte_1,0.25,82,
35.5,Note,Parte_3,0.5,49,
35.75,Note,Parte_1,0.25,85,
36.0,Note,Parte_1,0.25,82,
36.0,Rest,Parte_2,2.0,0,
36.0,Note,Parte_3,0.5,42,
36.0,Rest,Parte_4,2.0,0,
36.0,Rest,Parte_5,2.0,0,
36.25,Note,Parte_1,0.25,85,
36.5,Note,Parte_1,0.25,82,
36.5,Note,Parte_3,0.5,49,
36.75,Note,Parte_1,0.25,85,
37.0,Note,Parte_1,0.25,80,
37.0,Note,Parte_3,0.5,37,
37.25,Note,Parte_1,0.25,83,
37.5,Note,Parte_1,0.25,77,
37.5,Note,Parte_3,0.5,49,
37.75,Note,Parte_1,0.25,85,
38.0,Note,Parte_1,0.25,82,
38.0,Rest,Parte_2,2.0,0,
38.0,Note,Parte_3,0.5,42,
38.0,Rest,Parte_4,2.0,0,
38.0,Rest,Parte_5,2.0,0,
38.25,Note,Parte_1,0.25,85,
38.5,Chord,Parte_1,0.25,"[78, 82]",
38.5,Note,Parte_3,0.5,58,
38.75,Note,Parte_1,0.25,85,
39.0,Note,Parte_1,0.25,78,
39.0,Note,Parte_3,0.5,35,
39.25,Note,Parte_1,0.25,80,
39.5,Note,Parte_1,0.25,78,
39.5,Note,Parte_3,0.5,47,
39.75,Note,Parte_1,0.25,84,
40.0,Note,Parte_1,0.25,78,
40.0,Rest,Parte_2,2.0,0,
40.0,Note,Parte_3,0.5,36,
40.0,Rest,Parte_4,2.0,0,
40.0,Rest,Parte_5,2.0,0,
40.25,Note,Parte_1,0.25,80,
