0.0,Formula de Compasso,2/2
32.0,Rest,Parte_2,4.0,0,
32.0,Chord,Parte_3,1.0,"[56, 60]",
32.0,Rest,Parte_4,4.0,0,
32.0,Rest,Parte_5,4.0,0,
33.0,Note,Parte_1,1.0,79,
33.0,Chord,Parte_3,1.0,"[52, 55]",
34.0,Note,Parte_1,1.0,80,
34.0,Chord,Parte_3,1.0,"[53, 56]",
35.0,Note,Parte_1,1.0,83,
35.0,Chord,Parte_3,1.0,"[49, 53]",
36.0,Note,Parte_1,1.0,84,
36.0,Rest,Parte_2,2.0,0,
36.0,Chord,Parte_3,1.0,"[48, 52]",
36.0,Rest,Parte_4,2.0,0,
36.0,Rest,Parte_5,2.0,0,
37.0,Rest,Parte_1,1.0,0,
37.0,Note,Parte_3,1.0,60,
38.0,Note,Parte_1,1.0,72,
38.0,Rest,Parte_2,2.0,0,
38.0,Note,Parte_3,1.0,70,
38.0,Note,Parte_4,2.0,64,
38.0,Rest,Parte_5,2.0,0,
39.0,Note,Parte_1,1.0,72,
39.0,Note,Parte_3,1.0,67,
40.0,Note,Parte_1,1.0,72,
40.0,Rest,Parte_2,4.0,0,
40.0,Note,Parte_3,2.0,68,
40.0,Note,Parte_4,2.0,65,
40.0,Rest,Parte_5,4.0,0,
41.0,Note,Parte_1,1.0,77,
42.0,Note,Parte_1,1.0,72,
42.0,Note,Parte_3,1.0,70,
42.0,Note,Parte_4,2.0,64,
43.0,Note,Parte_1,1.0,72,
43.0,Note,Parte_3,1.0,67,
44.0,Tuplet 5:4,Parte_1,"[['Note', 0.25, 72, None], ['Note', 0.25, 73, None], ['Note', 0.25, 72, None], ['Note', 0.25, 70, None], ['Note', 0.25, 72, None]]"
44.0,Rest,Parte_2,4.0,0,
44.0,Note,Parte_3,2.0,68,
44.0,Note,Parte_4,2.0,65,
44.0,Rest,Parte_5,2.0,0,
45.0,Note,Parte_1,1.0,77,
46.0,Note,Parte_1,1.0,72,
46.0,Note,Parte_3,1.0,58,
46.0,Note,Parte_4,2.0,52,
46.0,Rest,Parte_5,2.0,0,
47.0,Note,Parte_1,1.0,72,
47.0,Note,Parte_3,1.0,55,
48.0,Note,Parte_1,0.0,72,
48.0,Note,Parte_1,1.5,80,
48.0,Rest,Parte_2,4.0,0,
48.0,Chord,Parte_3,1.0,"[53, 56]",
48.0,Rest,Parte_4,4.0,0,
48.0,Rest,Parte_5,4.0,0,
49.0,Chord,Parte_3,2.0,"[53, 56]",
49.5,Note,Parte_1,0.5,79,
50.0,Note,Parte_1,0.5,77,
50.5,Note,Parte_1,0.5,75,
51.0,Note,Parte_1,0.5,74,
51.0,Chord,Parte_3,1.0,"[54, 57]",
51.5,Note,Parte_1,0.5,72,
52.0,Note,Parte_1,1.0,71,
52.0,Rest,Parte_2,4.0,0,
52.0,Tuplet 3:2,Parte_3,"[['Note', 0.5, 55, None], ['Note', 0.5, 59, None], ['Note', 0.5, 62, None]]"
52.0,Rest,Parte_4,4.0,0,
52.0,Rest,Parte_5,4.0,0,
53.0,Rest,Parte_1,1.0,0,
53.0,Tuplet 3:2,Parte_3,"[['Note', 0.5, 55, None], ['Note', 0.5, 59, None], ['Note', 0.5, 62, None]]"
54.0,Chord,Parte_1,1.0,"[67, 71, 74, 79]",
54.0,Tuplet 3:2,Parte_3,"[['Note', 0.5, 55, None], ['Note', 0.5, 59, None], ['Note', 0.5, 62, None]]"
55.0,Chord,Parte_1,1.0,"[66, 69, 72, 75, 78]",
55.0,Tuplet 3:2,Parte_3,"[['Note', 0.5, 55, None], ['Note', 0.5, 60, None], ['Note', 0.5, 63, None]]"
56.0,Chord,Parte_1,1.0,"[67, 71, 74, 79]",
56.0,Rest,Parte_2,4.0,0,
56.0,Tuplet 3:2,Parte_3,"[['Note', 0.5, 55, None], ['Note', 0.5, 62, None], ['Note', 0.5, 59, None]]"
56.0,Rest,Parte_4,4.0,0,
56.0,Rest,Parte_5,4.0,0,
57.0,Rest,Parte_1,1.0,0,
57.0,Tuplet 3:2,Parte_3,"[['Note', 0.5, 55, None], ['Note', 0.5, 50, None], ['Note', 0.5, 47, None]]"
58.0,Chord,Parte_1,1.0,"[71, 74, 79, 83]",
58.0,Tuplet 3:2,Parte_3,"[['Note', 0.5, 43, None], ['Note', 0.5, 47, None], ['Note', 0.5, 50, None]]"
