0,Tempo,44.0
0,Formula de Compasso,4/4
77/4,Chord,Parte_4,1/2,"[40, 52]",
157/8,Rest,Parte_1,3/8,0,
79/4,Rest,Parte_4,1/2,0,
20,Rest,Parte_1,1/2,0,
20,Rest,Parte_1,5/8,0,
20,Rest,Parte_2,3,0,
20,Rest,Parte_2,5/8,0,
20,Rest,Parte_3,3,0,
20,Rest,Parte_5,3,0,
20,Chord,Parte_6,7/8,"[40, 52]",
20,Rest,Parte_7,4,0,
81/4,Rest,Parte_4,3/8,0,
41/2,Rest,Parte_1,3/8,0,
83/4,Rest,Parte_4,3/8,0,
167/8,Chord,Parte_1,1/8,"[73, 77, 82, 85]",
167/8,Chord,Parte_6,1/8,"[41, 53]",
21,Chord,Parte_1,1,"[73, 77, 82, 85]",start
21,Chord,Parte_6,1,"[41, 53]",start
169/8,Chord,Parte_4,1/8,"[49, 61]",
85/4,Rest,Parte_4,3,0,
85/4,Rest,Parte_4,1/8,0,
22,Chord,Parte_1,7/8,"[73, 77, 82, 85]",stop
22,Chord,Parte_6,7/8,"[41, 53]",stop
183/8,Chord,Parte_1,1/8,"[73, 82]",
183/8,Chord,Parte_6,1/8,"[53, 58, 61]",
23,Note,Parte_1,3/4,82,
23,Note,Parte_2,1,73,
23,Tuplet 11:3,Parte_3,"[['Rest', Fraction(1, 4), 0, None], ['Rest', Fraction(1, 2), 0, None], ['Rest', Fraction(2, 1), 0, None]]"
23,Rest,Parte_5,3/4,0,
23,Chord,Parte_6,1,"[53, 58, 61]",
95/4,Note,Parte_1,1/8,81,
95/4,Rest,Parte_3,1/4,0,
95/4,Rest,Parte_5,1/4,0,
191/8,Note,Parte_1,1/8,82,
24,Chord,Parte_1,7/8,"[73, 75, 82]",
24,Rest,Parte_2,4,0,
24,Rest,Parte_3,4,0,
24,Rest,Parte_5,4,0,
24,Rest,Parte_6,4,0,
24,Rest,Parte_7,4,0,
97/4,Rest,Parte_4,1,0,
199/8,Chord,Parte_1,1/8,"[73, 75, 82]",
25,Chord,Parte_1,1,"[73, 75, 82]",start
101/4,Chord,Parte_4,7/8,"[54, 58, 61]",
26,Chord,Parte_1,7/8,"[73, 75, 82]",stop
209/8,Chord,Parte_4,1/8,"[54, 58, 61]",
105/4,Chord,Parte_4,1,"[54, 58, 61]",start
215/8,Chord,Parte_1,1/8,"[72, 75, 80]",
27,Chord,Parte_1,7/8,"[72, 75, 80]",
109/4,Chord,Parte_4,7/8,"[54, 58, 61]",stop
223/8,Chord,Parte_1,1/8,"[72, 75, 78]",
28,Chord,Parte_1,7/8,"[72, 75, 78]",
28,Rest,Parte_2,4,0,
28,Rest,Parte_3,4,0,
28,Rest,Parte_5,4,0,
28,Rest,Parte_6,4,0,
28,Rest,Parte_7,4,0,
225/8,Chord,Parte_4,1/8,"[56, 60]",
113/4,Chord,Parte_4,7/8,"[56, 60]",
231/8,Chord,Parte_1,1/8,"[70, 75, 78]",
29,Chord,Parte_1,1,"[70, 75, 78]",start
233/8,Chord,Parte_4,1/8,"[57, 63, 66]",
117/4,Chord,Parte_4,7/8,"[57, 63, 66]",
30,Chord,Parte_1,7/8,"[70, 75, 78]",stop
241/8,Chord,Parte_4,1/8,"[58, 63, 66]",
121/4,Chord,Parte_4,1,"[58, 63, 66]",start
247/8,Chord,Parte_1,1/8,"[69, 75, 78]",
31,Chord,Parte_1,7/8,"[69, 75, 78]",
125/4,Chord,Parte_4,7/8,"[58, 63, 66]",stop
255/8,Chord,Parte_1,1/8,"[69, 75, 78]",
32,Chord,Parte_1,7/8,"[69, 75, 78]",
32,Rest,Parte_2,4,0,
32,Rest,Parte_3,4,0,
32,Rest,Parte_5,4,0,
32,Rest,Parte_6,4,0,
32,Rest,Parte_7,4,0,
257/8,Chord,Parte_4,1/8,"[59, 63, 66]",
129/4,Chord,Parte_4,7/8,"[59, 63, 66]",
263/8,Chord,Parte_1,1/8,"[68, 73, 77]",
33,Chord,Parte_1,1,"[68, 73, 77]",start
265/8,Chord,Parte_4,1/8,"[60, 63, 66]",
133/4,Chord,Parte_4,7/8,"[60, 63, 66]",
34,Chord,Parte_1,7/8,"[68, 73, 77]",stop
273/8,Chord,Parte_4,1/8,"[61, 65]",
137/4,Chord,Parte_4,1,"[61, 65]",start
279/8,Chord,Parte_1,1/8,"[68, 71, 77]",
35,Chord,Parte_1,7/8,"[68, 71, 77]",
141/4,Chord,Parte_4,7/8,"[61, 65]",stop
287/8,Chord,Parte_1,1/8,"[68, 71, 77]",
36,Chord,Parte_1,7/8,"[68, 71, 77]",
36,Rest,Parte_2,4,0,
36,Rest,Parte_3,4,0,
36,Rest,Parte_5,4,0,
36,Rest,Parte_6,4,0,
36,Rest,Parte_7,4,0,
289/8,Chord,Parte_4,1/8,"[62, 65]",
145/4,Chord,Parte_4,7/8,"[62, 65]",
295/8,Chord,Parte_1,1/8,"[68, 72, 75]",
37,Chord,Parte_1,1,"[68, 72, 75]",start
297/8,Chord,Parte_4,1/8,"[38, 50]",
149/4,Chord,Parte_4,7/8,"[38, 50]",
38,Chord,Parte_1,7/8,"[68, 72, 75]",stop
305/8,Chord,Parte_4,1/8,"[39, 51]",
153/4,Chord,Parte_4,1,"[39, 51]",start
311/8,Chord,Parte_1,1/8,"[68, 72, 75]",
39,Chord,Parte_1,7/8,"[68, 72, 75]",
157/4,Chord,Parte_4,7/8,"[39, 51]",stop
319/8,Chord,Parte_1,1/8,"[67, 70, 73]",
40,Chord,Parte_1,7/8,"[67, 70, 73]",
40,Rest,Parte_2,4,0,
40,Rest,Parte_3,4,0,
40,Rest,Parte_5,4,0,
40,Rest,Parte_6,4,0,
40,Rest,Parte_7,4,0,
321/8,Chord,Parte_4,1/8,"[39, 51]",
161/4,Chord,Parte_4,7/8,"[39, 51]",
327/8,Chord,Parte_1,1/8,"[65, 70, 73]",
41,Chord,Parte_1,7/8,"[65, 70, 73]",
329/8,Chord,Parte_4,1/8,"[40, 52]",
165/4,Chord,Parte_4,7/8,"[40, 52]",
335/8,Chord,Parte_1,1/8,"[64, 70, 73]",
