0.0,Formula de Compasso,4/4
0.0,Rest,Parte_1,3.0,0,
0.0,Rest,Parte_2,3.0,0,
0.0,Rest,Parte_3,4.0,0,
0.0,Rest,Parte_4,3.0,0,
0.0,Rest,Parte_5,3.0,0,
0.0,Rest,Parte_6,4.0,0,
0.0,Rest,Parte_7,4.0,0,
3.0,Note,Parte_1,0.75,63,
3.0,Rest,Parte_2,1.0,0,
3.0,Note,Parte_4,0.75,51,
3.0,Rest,Parte_5,1.0,0,
3.75,Note,Parte_1,0.25,63,
3.75,Note,Parte_4,0.25,51,
4.0,Note,Parte_1,1.0,63,
4.0,Rest,Parte_2,4.0,0,
4.0,Rest,Parte_3,4.0,0,
4.0,Chord,Parte_4,1.0,"[51, 56, 59]",
4.0,Note,Parte_5,4.0,44,
4.0,Note,Parte_6,2.0,32,
4.0,Rest,Parte_7,4.0,0,
5.0,Note,Parte_1,0.75,63,
5.0,Chord,Parte_4,0.75,"[51, 56, 59]",
5.75,Note,Parte_1,0.25,63,
5.75,Chord,Parte_4,0.25,"[51, 56, 59]",
6.0,Note,Parte_1,0.75,63,
6.0,Chord,Parte_4,0.75,"[51, 56, 59]",
6.0,Note,Parte_6,2.0,32,
6.75,Note,Parte_1,0.25,63,
6.75,Chord,Parte_4,0.25,"[51, 56, 59]",
7.0,Note,Parte_1,0.75,63,
7.0,Chord,Parte_4,0.75,"[51, 55, 58]",
7.75,Note,Parte_1,0.25,63,
7.75,Chord,Parte_4,0.25,"[51, 56, 59]",
8.0,Note,Parte_1,3.0,63,
8.0,Rest,Parte_2,4.0,0,
8.0,Rest,Parte_3,4.0,0,
8.0,Chord,Parte_4,3.0,"[51, 58, 61]",
8.0,Note,Parte_5,0.75,39,
8.0,Rest,Parte_6,4.0,0,
8.0,Rest,Parte_7,4.0,0,
8.75,Note,Parte_5,0.25,39,
9.0,Note,Parte_5,0.75,43,
9.75,Note,Parte_5,0.25,46,
10.0,Note,Parte_5,1.0,51,
11.0,Note,Parte_1,0.75,63,
11.0,Chord,Parte_4,0.75,"[55, 58]",
11.0,Chord,Parte_5,0.75,"[49, 51]",
11.75,Note,Parte_1,0.25,63,
11.75,Chord,Parte_4,0.25,"[55, 58]",
11.75,Chord,Parte_5,0.25,"[49, 51]",
12.0,Note,Parte_1,1.0,63,
12.0,Rest,Parte_2,4.0,0,
12.0,Rest,Parte_3,4.0,0,
12.0,Chord,Parte_4,1.0,"[56, 59]",
12.0,Chord,Parte_5,1.0,"[47, 51]",
12.0,Rest,Parte_6,4.0,0,
12.0,Rest,Parte_7,4.0,0,
13.0,Note,Parte_1,0.75,63,
13.0,Chord,Parte_4,0.75,"[56, 59]",
13.0,Chord,Parte_5,0.75,"[44, 51]",
13.75,Note,Parte_1,0.25,63,
13.75,Chord,Parte_4,0.25,"[56, 59]",
13.75,Chord,Parte_5,0.25,"[44, 51]",
14.0,Note,Parte_1,1.0,63,
14.0,Chord,Parte_4,1.0,"[58, 61]",
14.0,Chord,Parte_5,1.0,"[43, 51]",
15.0,Note,Parte_1,0.75,63,
15.0,Chord,Parte_4,0.75,"[56, 59]",
15.0,Chord,Parte_5,0.75,"[44, 51]",
15.75,Note,Parte_1,0.25,63,
15.75,Chord,Parte_4,0.25,"[56, 59]",
15.75,Chord,Parte_5,0.25,"[44, 51]",
16.0,Note,Parte_1,1.0,63,
16.0,Rest,Parte_2,4.0,0,
16.0,Rest,Parte_3,4.0,0,
16.0,Chord,Parte_4,1.0,"[55, 58]",
16.0,Chord,Parte_5,1.0,"[39, 51]",
16.0,Rest,Parte_6,4.0,0,
16.0,Rest,Parte_7,4.0,0,
17.0,Note,Parte_1,1.0,63,
17.0,Chord,Parte_4,1.0,"[55, 58]",
17.0,Chord,Parte_5,1.0,"[39, 51]",
18.0,Note,Parte_1,1.0,63,
18.0,Chord,Parte_4,1.0,"[55, 58]",
18.0,Chord,Parte_5,1.0,"[39, 51]",
19.0,Note,Parte_1,0.75,63,
19.0,Note,Parte_4,0.75,51,
19.0,Rest,Parte_5,1.0,0,
19.75,Note,Parte_1,0.25,63,
19.75,Note,Parte_4,0.25,51,
20.0,Note,Parte_1,1.0,63,
20.0,Rest,Parte_2,4.0,0,
20.0,Rest,Parte_3,4.0,0,
